,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,200504230BOS,15.1,7.5,1st quarter,11:37.0,Jermaine O'Neal,IND,True,2-pointer,9,2-0,'IND',leads
1,1,1,200504230BOS,20.1,13.7,1st quarter,10:58.0,Reggie Miller,IND,False,2-pointer,10,2-0,'IND',leads
2,2,2,200504230BOS,16.0,19.6,1st quarter,10:30.0,Anthony Johnson,IND,False,2-pointer,17,2-0,'IND',leads
3,3,3,200504230BOS,13.7,24.4,1st quarter,9:48.0,Reggie Miller,IND,True,2-pointer,22,4-0,'IND',leads
4,4,4,200504230BOS,23.2,6.0,1st quarter,9:20.0,Stephen Jackson,IND,True,2-pointer,1,6-2,'IND',leads
5,5,5,200504230BOS,13.3,6.0,1st quarter,8:51.0,Stephen Jackson,IND,False,2-pointer,11,6-2,'IND',leads
6,6,6,200504230BOS,25.6,5.3,1st quarter,8:47.0,Dale Davis,IND,True,2-pointer,2,8-2,'IND',leads
7,7,7,200504230BOS,35.0,5.5,1st quarter,7:21.0,Dale Davis,IND,False,2-pointer,11,10-4,'IND',leads
8,8,8,200504230BOS,17.4,9.1,1st quarter,7:17.0,Jermaine O'Neal,IND,False,2-pointer,8,10-4,'IND',leads
9,9,9,200504230BOS,25.0,5.8,1st quarter,6:59.0,Dale Davis,IND,False,2-pointer,1,10-4,'IND',leads
10,10,10,200504230BOS,23.5,5.5,1st quarter,6:25.0,Jermaine O'Neal,IND,False,2-pointer,1,10-4,'IND',leads
11,11,11,200504230BOS,21.5,6.2,1st quarter,6:20.0,Jermaine O'Neal,IND,False,2-pointer,3,10-4,'IND',leads
12,12,12,200504230BOS,40.3,9.0,1st quarter,5:43.0,Stephen Jackson,IND,True,2-pointer,17,12-4,'IND',leads
13,13,13,200504230BOS,14.1,18.8,1st quarter,5:12.0,Reggie Miller,IND,False,2-pointer,17,12-6,'IND',leads
14,14,14,200504230BOS,12.0,23.4,1st quarter,4:52.0,Reggie Miller,IND,False,2-pointer,22,12-6,'IND',leads
15,15,15,200504230BOS,17.6,21.8,1st quarter,4:16.0,Anthony Johnson,IND,True,2-pointer,18,14-9,'IND',leads
16,16,16,200504230BOS,22.9,4.4,1st quarter,3:38.0,Jermaine O'Neal,IND,True,2-pointer,1,16-12,'IND',leads
17,17,17,200504230BOS,24.0,14.5,1st quarter,2:56.0,Stephen Jackson,IND,True,2-pointer,10,18-14,'IND',leads
18,18,18,200504230BOS,22.2,5.7,1st quarter,1:46.0,Stephen Jackson,IND,False,2-pointer,2,18-16,'IND',leads
19,19,19,200504230BOS,28.3,6.0,1st quarter,0:02.1,Fred Jones,IND,False,2-pointer,4,20-18,'IND',leads
20,20,20,200504230BOS,24.0,5.0,1st quarter,0:00.6,Scot Pollard,IND,False,2-pointer,0,20-18,'IND',leads
21,21,21,200504230BOS,47.5,7.5,2nd quarter,11:06.0,James Jones,IND,False,3-pointer,24,20-20,'IND',tied
22,22,22,200504230BOS,23.4,7.2,2nd quarter,9:55.0,Jermaine O'Neal,IND,False,2-pointer,2,21-26,'IND',trails
23,23,23,200504230BOS,27.9,5.7,2nd quarter,9:16.0,Scot Pollard,IND,False,2-pointer,4,21-29,'IND',trails
24,24,24,200504230BOS,24.0,20.5,2nd quarter,8:41.0,Reggie Miller,IND,False,2-pointer,16,21-32,'IND',trails
25,25,25,200504230BOS,26.3,6.7,2nd quarter,8:38.0,Reggie Miller,IND,False,2-pointer,3,21-32,'IND',trails
26,26,26,200504230BOS,24.0,5.0,2nd quarter,8:36.0,Scot Pollard,IND,False,2-pointer,0,21-32,'IND',trails
27,27,27,200504230BOS,24.0,5.5,2nd quarter,8:23.0,Anthony Johnson,IND,True,2-pointer,1,23-32,'IND',trails
28,28,28,200504230BOS,25.8,4.7,2nd quarter,6:04.0,Stephen Jackson,IND,True,2-pointer,2,26-41,'IND',trails
29,29,29,200504230BOS,38.8,7.3,2nd quarter,5:21.0,Stephen Jackson,IND,False,2-pointer,15,26-41,'IND',trails
30,30,30,200504230BOS,25.5,4.9,2nd quarter,2:06.0,Jeff Foster,IND,False,2-pointer,2,28-51,'IND',trails
31,31,31,200504230BOS,16.5,25.4,2nd quarter,1:45.0,Fred Jones,IND,False,2-pointer,22,28-51,'IND',trails
32,32,32,200504230BOS,32.5,14.4,2nd quarter,1:14.0,Anthony Johnson,IND,False,2-pointer,13,28-53,'IND',trails
33,33,33,200504230BOS,45.0,19.0,2nd quarter,1:06.0,Stephen Jackson,IND,True,3-pointer,25,31-53,'IND',trails
34,34,34,200504230BOS,40.4,24.7,2nd quarter,0:24.9,Stephen Jackson,IND,False,3-pointer,26,31-55,'IND',trails
35,35,35,200504230BOS,30.6,9.1,3rd quarter,11:35.0,Jermaine O'Neal,IND,False,2-pointer,8,31-57,'IND',trails
36,36,36,200504230BOS,12.3,18.3,3rd quarter,11:21.0,Jermaine O'Neal,IND,False,2-pointer,18,31-57,'IND',trails
37,37,37,200504230BOS,25.5,4.7,3rd quarter,11:18.0,Dale Davis,IND,False,2-pointer,2,31-57,'IND',trails
38,38,38,200504230BOS,15.0,15.9,3rd quarter,10:57.0,Reggie Miller,IND,False,2-pointer,14,31-60,'IND',trails
39,39,39,200504230BOS,27.3,4.7,3rd quarter,10:33.0,Stephen Jackson,IND,False,2-pointer,3,31-60,'IND',trails
