,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,200112090DET,40.7,10.7,1st quarter,10:30.0,Cuttino Mobley,HOU,True,2-pointer,18,4-2,'HOU',leads
1,1,1,200112090DET,39.9,6.9,1st quarter,9:48.0,Kenny Thomas,HOU,False,2-pointer,16,4-4,'HOU',tied
2,2,2,200112090DET,42.0,6.5,1st quarter,9:18.0,Cuttino Mobley,HOU,True,2-pointer,18,6-4,'HOU',leads
3,3,3,200112090DET,1.9,20.2,1st quarter,8:47.0,Cuttino Mobley,HOU,True,3-pointer,27,9-4,'HOU',leads
4,4,4,200112090DET,39.9,8.6,1st quarter,8:00.0,Cuttino Mobley,HOU,True,2-pointer,16,11-4,'HOU',leads
5,5,5,200112090DET,11.2,17.5,1st quarter,7:32.0,Cuttino Mobley,HOU,False,2-pointer,18,11-6,'HOU',leads
6,6,6,200112090DET,24.0,5.0,1st quarter,7:02.0,Kenny Thomas,HOU,False,2-pointer,0,11-8,'HOU',leads
7,7,7,200112090DET,12.7,19.1,1st quarter,6:21.0,Walt Williams,HOU,True,2-pointer,18,13-8,'HOU',leads
8,8,8,200112090DET,34.8,13.0,1st quarter,5:29.0,Cuttino Mobley,HOU,False,2-pointer,13,14-12,'HOU',leads
9,9,9,200112090DET,13.5,8.6,1st quarter,4:48.0,Kevin Willis,HOU,False,2-pointer,11,14-14,'HOU',tied
10,10,10,200112090DET,34.8,6.9,1st quarter,3:59.0,Kenny Thomas,HOU,True,2-pointer,11,16-14,'HOU',leads
11,11,11,200112090DET,38.4,5.0,1st quarter,3:36.0,Tierre Brown,HOU,False,2-pointer,14,16-16,'HOU',tied
12,12,12,200112090DET,19.2,17.9,1st quarter,2:21.0,Tierre Brown,HOU,True,2-pointer,14,20-19,'HOU',leads
13,13,13,200112090DET,24.0,5.0,1st quarter,1:22.0,Kevin Willis,HOU,True,2-pointer,0,23-21,'HOU',leads
14,14,14,200112090DET,14.2,15.1,1st quarter,0:42.3,Kenny Thomas,HOU,False,2-pointer,14,23-23,'HOU',tied
15,15,15,200112090DET,14.2,22.3,1st quarter,0:10.3,Cuttino Mobley,HOU,False,2-pointer,20,23-25,'HOU',trails
16,16,16,200112090DET,9.1,12.6,2nd quarter,10:29.0,Eddie Griffin,HOU,False,2-pointer,17,24-32,'HOU',trails
17,17,17,200112090DET,9.9,15.8,2nd quarter,10:22.0,Eddie Griffin,HOU,True,2-pointer,18,26-32,'HOU',trails
18,18,18,200112090DET,23.6,31.8,2nd quarter,9:32.0,Óscar Torres,HOU,False,3-pointer,27,26-34,'HOU',trails
19,19,19,200112090DET,24.0,5.0,2nd quarter,9:02.0,Cuttino Mobley,HOU,False,2-pointer,0,26-34,'HOU',trails
20,20,20,200112090DET,29.1,6.5,2nd quarter,8:58.0,Terence Morris,HOU,False,2-pointer,5,26-34,'HOU',trails
21,21,21,200112090DET,24.0,5.0,2nd quarter,8:26.0,Terence Morris,HOU,False,2-pointer,0,26-36,'HOU',trails
22,22,22,200112090DET,16.9,10.3,2nd quarter,7:42.0,Kenny Thomas,HOU,False,2-pointer,9,26-36,'HOU',trails
23,23,23,200112090DET,24.0,5.0,2nd quarter,7:25.0,Dan Langhi,HOU,False,2-pointer,0,26-36,'HOU',trails
24,24,24,200112090DET,7.0,9.2,2nd quarter,6:19.0,Eddie Griffin,HOU,False,2-pointer,18,26-42,'HOU',trails
25,25,25,200112090DET,3.4,5.9,2nd quarter,5:43.0,Dan Langhi,HOU,True,2-pointer,21,28-44,'HOU',trails
26,26,26,200112090DET,24.0,5.0,2nd quarter,5:18.0,Óscar Torres,HOU,True,2-pointer,0,30-44,'HOU',trails
27,27,27,200112090DET,24.0,5.0,2nd quarter,4:42.0,Kenny Thomas,HOU,False,2-pointer,0,30-44,'HOU',trails
28,28,28,200112090DET,24.0,5.0,2nd quarter,4:38.0,Eddie Griffin,HOU,False,2-pointer,0,30-44,'HOU',trails
29,29,29,200112090DET,39.3,20.8,2nd quarter,4:12.0,Kenny Thomas,HOU,False,2-pointer,22,30-44,'HOU',trails
30,30,30,200112090DET,41.4,5.4,2nd quarter,2:59.0,Moochie Norris,HOU,False,2-pointer,17,30-48,'HOU',trails
