,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,201505090MEM,23.0,2.7,1st quarter,11:28.0,Stephen Curry,GSW,True,2-pointer,1,2-0,'MEM',leads
1,1,1,201505090MEM,40.6,7.1,1st quarter,11:03.0,Klay Thompson,GSW,True,2-pointer,17,4-0,'MEM',leads
2,2,2,201505090MEM,26.6,4.4,1st quarter,10:39.0,Draymond Green,GSW,False,2-pointer,3,4-0,'MEM',leads
3,3,3,201505090MEM,0.8,2.8,1st quarter,10:09.0,Draymond Green,GSW,False,3-pointer,23,4-2,'MEM',leads
4,4,4,201505090MEM,41.0,21.7,1st quarter,9:44.0,Klay Thompson,GSW,False,3-pointer,25,4-4,'MEM',tied
5,5,5,201505090MEM,6.8,19.7,1st quarter,9:25.0,Klay Thompson,GSW,True,3-pointer,24,7-4,'MEM',leads
6,6,6,201505090MEM,9.4,23.8,1st quarter,8:44.0,Draymond Green,GSW,False,3-pointer,25,7-4,'MEM',leads
7,7,7,201505090MEM,39.5,19.2,1st quarter,7:55.0,Stephen Curry,GSW,False,2-pointer,22,7-8,'MEM',trails
8,8,8,201505090MEM,1.9,1.3,1st quarter,7:30.0,Stephen Curry,GSW,False,3-pointer,22,7-8,'MEM',trails
9,9,9,201505090MEM,18.4,7.2,1st quarter,7:25.0,Stephen Curry,GSW,True,2-pointer,7,9-8,'MEM',leads
10,10,10,201505090MEM,25.3,3.0,1st quarter,6:58.0,Klay Thompson,GSW,True,2-pointer,1,11-8,'MEM',leads
11,11,11,201505090MEM,12.4,24.6,1st quarter,6:22.0,Stephen Curry,GSW,False,3-pointer,25,11-8,'MEM',leads
12,12,12,201505090MEM,17.3,8.2,1st quarter,6:19.0,Harrison Barnes,GSW,True,2-pointer,8,13-8,'MEM',leads
13,13,13,201505090MEM,31.3,3.3,1st quarter,5:39.0,Harrison Barnes,GSW,True,2-pointer,7,15-10,'MEM',leads
14,14,14,201505090MEM,22.1,2.8,1st quarter,4:44.0,Draymond Green,GSW,False,2-pointer,2,15-15,'MEM',tied
15,15,15,201505090MEM,22.7,3.4,1st quarter,4:44.0,Andrew Bogut,GSW,False,2-pointer,1,15-15,'MEM',tied
16,16,16,201505090MEM,25.5,3.9,1st quarter,4:42.0,Andrew Bogut,GSW,True,2-pointer,2,17-15,'MEM',leads
17,17,17,201505090MEM,15.3,5.6,1st quarter,4:08.0,Andre Iguodala,GSW,False,2-pointer,9,17-15,'MEM',leads
18,18,18,201505090MEM,30.4,27.4,1st quarter,3:41.0,Stephen Curry,GSW,False,3-pointer,25,17-15,'MEM',leads
19,19,19,201505090MEM,24.0,3.1,1st quarter,3:09.0,Festus Ezeli,GSW,False,2-pointer,0,17-17,'MEM',tied
20,20,20,201505090MEM,41.7,15.3,1st quarter,2:38.0,Stephen Curry,GSW,False,2-pointer,22,17-17,'MEM',tied
21,21,21,201505090MEM,37.2,16.1,1st quarter,1:28.0,Marreese Speights,GSW,True,2-pointer,19,19-19,'MEM',tied
22,22,22,201505090MEM,9.3,15.6,1st quarter,0:10.0,Marreese Speights,GSW,False,2-pointer,19,20-23,'MEM',trails
23,23,23,201505090MEM,16.7,6.9,2nd quarter,11:43.0,Marreese Speights,GSW,False,2-pointer,8,20-23,'MEM',trails
24,24,24,201505090MEM,28.0,21.9,2nd quarter,10:45.0,Marreese Speights,GSW,False,2-pointer,19,20-25,'MEM',trails
25,25,25,201505090MEM,38.4,13.5,2nd quarter,10:20.0,Klay Thompson,GSW,False,2-pointer,18,20-27,'MEM',trails
26,26,26,201505090MEM,23.8,8.6,2nd quarter,10:05.0,Andrew Bogut,GSW,False,2-pointer,6,20-27,'MEM',trails
27,27,27,201505090MEM,29.3,7.2,2nd quarter,9:39.0,Shaun Livingston,GSW,True,2-pointer,7,22-29,'MEM',trails
28,28,28,201505090MEM,1.4,2.7,2nd quarter,8:20.0,Andre Iguodala,GSW,False,3-pointer,23,24-33,'MEM',trails
29,29,29,201505090MEM,4.7,17.2,2nd quarter,7:32.0,Stephen Curry,GSW,False,3-pointer,24,24-35,'MEM',trails
30,30,30,201505090MEM,27.9,10.1,2nd quarter,6:45.0,Klay Thompson,GSW,True,2-pointer,8,26-38,'MEM',trails
31,31,31,201505090MEM,39.7,7.4,2nd quarter,6:17.0,Stephen Curry,GSW,True,2-pointer,16,28-40,'MEM',trails
32,32,32,201505090MEM,46.3,8.2,2nd quarter,5:50.0,Klay Thompson,GSW,False,3-pointer,23,28-40,'MEM',trails
33,33,33,201505090MEM,35.3,4.2,2nd quarter,4:36.0,Harrison Barnes,GSW,True,2-pointer,11,32-47,'MEM',trails
34,34,34,201505090MEM,6.5,19.8,2nd quarter,3:36.0,Stephen Curry,GSW,True,3-pointer,24,35-49,'MEM',trails
35,35,35,201505090MEM,28.0,3.0,2nd quarter,3:11.0,Stephen Curry,GSW,False,2-pointer,4,35-51,'MEM',trails
36,36,36,201505090MEM,8.3,6.0,2nd quarter,2:39.0,Harrison Barnes,GSW,True,2-pointer,16,37-51,'MEM',trails
37,37,37,201505090MEM,35.3,24.4,2nd quarter,2:05.0,Andre Iguodala,GSW,False,3-pointer,24,37-51,'MEM',trails
38,38,38,201505090MEM,9.1,9.1,2nd quarter,1:00.0,Stephen Curry,GSW,True,2-pointer,16,39-53,'MEM',trails
39,39,39,201505090MEM,9.6,2.8,2nd quarter,0:13.0,Klay Thompson,GSW,False,2-pointer,14,39-55,'MEM',trails
40,40,40,201505090MEM,18.4,26.6,2nd quarter,0:07.0,Andre Iguodala,GSW,False,3-pointer,24,39-55,'MEM',trails
41,41,41,201505090MEM,8.2,15.4,2nd quarter,0:01.0,Stephen Curry,GSW,False,2-pointer,20,39-55,'MEM',trails
42,42,42,201505090MEM,14.7,19.0,3rd quarter,11:48.0,Klay Thompson,GSW,True,2-pointer,19,41-55,'MEM',trails
43,43,43,201505090MEM,11.5,23.6,3rd quarter,11:11.0,Draymond Green,GSW,True,3-pointer,24,44-56,'MEM',trails
44,44,44,201505090MEM,24.4,27.4,3rd quarter,10:41.0,Draymond Green,GSW,False,3-pointer,24,44-58,'MEM',trails
45,45,45,201505090MEM,25.8,11.2,3rd quarter,10:27.0,Andrew Bogut,GSW,False,2-pointer,8,44-58,'MEM',trails
46,46,46,201505090MEM,23.8,4.4,3rd quarter,9:58.0,Klay Thompson,GSW,True,2-pointer,1,46-58,'MEM',trails
47,47,47,201505090MEM,3.1,17.0,3rd quarter,9:21.0,Stephen Curry,GSW,False,3-pointer,25,46-58,'MEM',trails
