,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,201206010BOS,22.7,5.6,1st quarter,11:32.0,Mario Chalmers,MIA,False,2-pointer,1,0-0,'MIA',tied
1,1,1,201206010BOS,25.3,6.5,1st quarter,11:06.0,Ronny Turiaf,MIA,True,2-pointer,2,2-2,'MIA',tied
2,2,2,201206010BOS,24.6,6.1,1st quarter,10:44.0,Mario Chalmers,MIA,True,2-pointer,1,4-4,'MIA',tied
3,3,3,201206010BOS,25.2,6.4,1st quarter,10:03.0,Mario Chalmers,MIA,False,2-pointer,2,4-4,'MIA',tied
4,4,4,201206010BOS,26.0,6.1,1st quarter,9:49.0,LeBron James,MIA,False,2-pointer,2,4-4,'MIA',tied
5,5,5,201206010BOS,26.1,5.4,1st quarter,9:17.0,LeBron James,MIA,True,2-pointer,2,6-6,'MIA',tied
6,6,6,201206010BOS,35.9,27.4,1st quarter,7:59.0,Mario Chalmers,MIA,True,3-pointer,25,10-10,'MIA',tied
7,7,7,201206010BOS,29.9,26.1,1st quarter,7:26.0,LeBron James,MIA,True,2-pointer,22,12-13,'MIA',trails
8,8,8,201206010BOS,31.7,25.6,1st quarter,6:59.0,LeBron James,MIA,True,2-pointer,22,14-13,'MIA',leads
9,9,9,201206010BOS,35.8,30.0,1st quarter,6:21.0,LeBron James,MIA,False,3-pointer,28,14-15,'MIA',trails
10,10,10,201206010BOS,24.4,5.0,1st quarter,6:09.0,Dwyane Wade,MIA,True,2-pointer,0,16-17,'MIA',trails
11,11,11,201206010BOS,25.8,5.0,1st quarter,5:19.0,LeBron James,MIA,True,2-pointer,2,19-18,'MIA',leads
12,12,12,201206010BOS,23.8,5.1,1st quarter,4:10.0,LeBron James,MIA,True,2-pointer,0,21-20,'MIA',leads
13,13,13,201206010BOS,37.5,26.6,1st quarter,3:07.0,LeBron James,MIA,True,3-pointer,25,26-22,'MIA',leads
14,14,14,201206010BOS,13.9,17.4,1st quarter,2:38.0,LeBron James,MIA,True,2-pointer,16,28-22,'MIA',leads
15,15,15,201206010BOS,15.3,20.1,1st quarter,1:49.0,LeBron James,MIA,False,2-pointer,17,28-25,'MIA',leads
16,16,16,201206010BOS,13.2,22.5,1st quarter,1:04.0,LeBron James,MIA,False,2-pointer,21,28-27,'MIA',leads
17,17,17,201206010BOS,23.2,19.8,1st quarter,0:37.9,LeBron James,MIA,False,2-pointer,15,28-29,'MIA',trails
18,18,18,201206010BOS,5.8,8.0,2nd quarter,11:36.0,Dwyane Wade,MIA,False,2-pointer,18,28-30,'MIA',trails
19,19,19,201206010BOS,40.3,11.7,2nd quarter,11:08.0,Udonis Haslem,MIA,False,2-pointer,18,28-30,'MIA',trails
20,20,20,201206010BOS,29.6,6.7,2nd quarter,10:49.0,Mario Chalmers,MIA,False,2-pointer,6,28-30,'MIA',trails
21,21,21,201206010BOS,33.7,29.6,2nd quarter,10:24.0,Mike Miller,MIA,False,3-pointer,26,28-30,'MIA',trails
22,22,22,201206010BOS,33.5,8.9,2nd quarter,9:10.0,Dwyane Wade,MIA,False,2-pointer,10,28-32,'MIA',trails
23,23,23,201206010BOS,30.4,26.1,2nd quarter,8:10.0,Dwyane Wade,MIA,False,2-pointer,22,28-35,'MIA',trails
24,24,24,201206010BOS,31.5,9.2,2nd quarter,5:57.0,LeBron James,MIA,True,2-pointer,9,32-39,'MIA',trails
25,25,25,201206010BOS,23.6,6.4,2nd quarter,5:33.0,Dwyane Wade,MIA,True,2-pointer,1,34-41,'MIA',trails
26,26,26,201206010BOS,47.0,8.1,2nd quarter,4:54.0,Mike Miller,MIA,False,3-pointer,23,34-41,'MIA',trails
27,27,27,201206010BOS,24.1,7.2,2nd quarter,4:51.0,Dwyane Wade,MIA,False,2-pointer,2,34-41,'MIA',trails
28,28,28,201206010BOS,46.6,8.0,2nd quarter,4:19.0,LeBron James,MIA,False,3-pointer,23,34-41,'MIA',trails
29,29,29,201206010BOS,40.2,10.8,2nd quarter,3:48.0,LeBron James,MIA,False,2-pointer,17,34-43,'MIA',trails
30,30,30,201206010BOS,23.5,5.0,2nd quarter,3:23.0,LeBron James,MIA,True,2-pointer,1,36-46,'MIA',trails
31,31,31,201206010BOS,24.4,5.4,2nd quarter,2:56.0,Dwyane Wade,MIA,True,2-pointer,1,38-46,'MIA',trails
32,32,32,201206010BOS,21.4,5.0,2nd quarter,2:12.0,Joel Anthony,MIA,True,2-pointer,3,40-48,'MIA',trails
33,33,33,201206010BOS,23.0,13.3,2nd quarter,1:30.0,Dwyane Wade,MIA,False,2-pointer,8,40-50,'MIA',trails
34,34,34,201206010BOS,29.9,18.5,2nd quarter,0:35.9,Dwyane Wade,MIA,False,2-pointer,15,42-52,'MIA',trails
35,35,35,201206010BOS,0.0,9.4,2nd quarter,0:03.9,Shane Battier,MIA,False,3-pointer,24,42-55,'MIA',trails
36,36,36,201206010BOS,12.0,18.1,3rd quarter,11:38.0,LeBron James,MIA,False,2-pointer,18,42-55,'MIA',trails
37,37,37,201206010BOS,33.2,9.1,3rd quarter,10:24.0,Dwyane Wade,MIA,True,2-pointer,10,44-57,'MIA',trails
38,38,38,201206010BOS,46.6,8.3,3rd quarter,9:02.0,Shane Battier,MIA,False,3-pointer,23,44-59,'MIA',trails
39,39,39,201206010BOS,3.0,18.1,3rd quarter,8:58.0,Mario Chalmers,MIA,False,3-pointer,25,44-59,'MIA',trails
40,40,40,201206010BOS,28.7,6.2,3rd quarter,8:26.0,Shane Battier,MIA,False,2-pointer,5,44-59,'MIA',trails
41,41,41,201206010BOS,15.1,12.2,3rd quarter,8:00.0,LeBron James,MIA,True,2-pointer,11,46-62,'MIA',trails
42,42,42,201206010BOS,16.7,20.7,3rd quarter,7:24.0,Dwyane Wade,MIA,False,2-pointer,17,46-64,'MIA',trails
43,43,43,201206010BOS,23.0,6.2,3rd quarter,7:17.0,Mario Chalmers,MIA,False,2-pointer,2,46-64,'MIA',trails
44,44,44,201206010BOS,14.5,9.5,3rd quarter,6:53.0,Udonis Haslem,MIA,True,2-pointer,11,48-67,'MIA',trails
45,45,45,201206010BOS,21.3,11.9,3rd quarter,6:09.0,LeBron James,MIA,True,2-pointer,7,50-69,'MIA',trails
46,46,46,201206010BOS,30.4,19.9,3rd quarter,5:40.0,LeBron James,MIA,True,2-pointer,16,52-71,'MIA',trails
47,47,47,201206010BOS,28.7,27.8,3rd quarter,4:54.0,LeBron James,MIA,True,2-pointer,23,54-73,'MIA',trails
48,48,48,201206010BOS,23.3,5.0,3rd quarter,4:13.0,Dwyane Wade,MIA,True,2-pointer,1,56-75,'MIA',trails
49,49,49,201206010BOS,15.9,29.9,3rd quarter,3:33.0,Shane Battier,MIA,False,3-pointer,26,56-75,'MIA',trails
50,50,50,201206010BOS,47.0,8.9,3rd quarter,2:53.0,James Jones,MIA,False,3-pointer,23,57-76,'MIA',trails
51,51,51,201206010BOS,23.3,16.6,3rd quarter,2:16.0,LeBron James,MIA,True,2-pointer,12,59-76,'MIA',trails
52,52,52,201206010BOS,23.6,9.7,3rd quarter,1:43.0,Dwyane Wade,MIA,True,2-pointer,5,61-78,'MIA',trails
53,53,53,201206010BOS,38.0,15.4,3rd quarter,1:14.0,Dwyane Wade,MIA,False,2-pointer,17,61-78,'MIA',trails
