,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,200202250CHH,39.9,8.6,1st quarter,11:49.0,Joe Smith,MIN,False,2-pointer,16,0-2,'CHH',trails
1,1,1,200202250CHH,24.0,5.0,1st quarter,11:27.0,Rasho Nesterović,MIN,True,2-pointer,0,2-2,'CHH',tied
2,2,2,200202250CHH,18.4,9.2,1st quarter,10:48.0,Kevin Garnett,MIN,True,2-pointer,7,4-4,'CHH',tied
3,3,3,200202250CHH,11.8,16.8,1st quarter,10:13.0,Chauncey Billups,MIN,False,2-pointer,17,4-4,'CHH',tied
4,4,4,200202250CHH,24.0,5.0,1st quarter,10:11.0,Joe Smith,MIN,True,2-pointer,0,6-4,'CHH',leads
5,5,5,200202250CHH,30.8,6.5,1st quarter,9:31.0,Rasho Nesterović,MIN,True,2-pointer,7,9-6,'CHH',leads
6,6,6,200202250CHH,24.0,5.0,1st quarter,9:05.0,Chauncey Billups,MIN,True,2-pointer,0,11-6,'CHH',leads
7,7,7,200202250CHH,19.6,11.3,1st quarter,8:30.0,Wally Szczerbiak,MIN,False,2-pointer,8,11-8,'CHH',leads
8,8,8,200202250CHH,24.0,5.0,1st quarter,8:27.0,Joe Smith,MIN,True,2-pointer,0,13-8,'CHH',leads
9,9,9,200202250CHH,24.0,5.0,1st quarter,8:20.0,Joe Smith,MIN,False,2-pointer,0,13-10,'CHH',leads
10,10,10,200202250CHH,7.8,8.6,1st quarter,6:34.0,Kevin Garnett,MIN,False,2-pointer,17,13-10,'CHH',leads
11,11,11,200202250CHH,19.6,12.0,1st quarter,5:55.0,Joe Smith,MIN,False,2-pointer,8,13-10,'CHH',leads
12,12,12,200202250CHH,24.0,5.0,1st quarter,5:18.0,Rasho Nesterović,MIN,True,2-pointer,0,15-12,'CHH',leads
13,13,13,200202250CHH,16.1,8.6,1st quarter,4:28.0,Rasho Nesterović,MIN,False,2-pointer,9,15-14,'CHH',leads
14,14,14,200202250CHH,41.4,8.0,1st quarter,3:57.0,Chauncey Billups,MIN,False,2-pointer,18,15-14,'CHH',leads
15,15,15,200202250CHH,24.0,5.0,1st quarter,3:55.0,Rasho Nesterović,MIN,False,2-pointer,0,15-14,'CHH',leads
