,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,201511170BRK,26.0,21.5,1st quarter,11:46.0,Al Horford,ATL,True,2-pointer,18,2-0,'ATL',leads
1,1,1,201511170BRK,14.3,18.9,1st quarter,11:12.0,Kyle Korver,ATL,False,2-pointer,18,2-0,'ATL',leads
2,2,2,201511170BRK,36.7,19.4,1st quarter,10:05.0,Kyle Korver,ATL,False,2-pointer,20,2-2,'ATL',tied
3,3,3,201511170BRK,37.5,4.6,1st quarter,8:51.0,Paul Millsap,ATL,True,2-pointer,13,4-2,'ATL',leads
4,4,4,201511170BRK,2.3,16.1,1st quarter,8:16.0,Dennis Schröder,ATL,False,3-pointer,25,4-4,'ATL',tied
5,5,5,201511170BRK,8.4,22.3,1st quarter,7:47.0,Kyle Korver,ATL,True,3-pointer,24,7-4,'ATL',leads
6,6,6,201511170BRK,0.5,1.4,1st quarter,7:05.0,Kyle Korver,ATL,False,3-pointer,23,7-4,'ATL',leads
7,7,7,201511170BRK,12.8,24.9,1st quarter,6:37.0,Dennis Schröder,ATL,False,3-pointer,24,7-5,'ATL',leads
8,8,8,201511170BRK,26.8,3.3,1st quarter,6:03.0,Tiago Splitter,ATL,True,2-pointer,2,9-7,'ATL',leads
9,9,9,201511170BRK,23.9,5.6,1st quarter,5:12.0,Paul Millsap,ATL,True,2-pointer,2,11-10,'ATL',leads
10,10,10,201511170BRK,23.9,9.1,1st quarter,4:29.0,Al Horford,ATL,True,2-pointer,6,13-12,'ATL',leads
11,11,11,201511170BRK,10.0,3.2,1st quarter,3:52.0,Paul Millsap,ATL,False,2-pointer,14,13-15,'ATL',trails
12,12,12,201511170BRK,24.0,28.2,1st quarter,2:32.0,Shelvin Mack,ATL,False,3-pointer,25,13-15,'ATL',trails
13,13,13,201511170BRK,21.6,3.2,1st quarter,1:21.0,Thabo Sefolosha,ATL,True,2-pointer,2,15-17,'ATL',trails
14,14,14,201511170BRK,6.7,21.0,1st quarter,0:43.0,Mike Scott,ATL,False,3-pointer,24,15-17,'ATL',trails
15,15,15,201511170BRK,23.6,4.1,1st quarter,0:30.0,Shelvin Mack,ATL,False,2-pointer,1,15-17,'ATL',trails
16,16,16,201511170BRK,24.0,3.1,1st quarter,0:28.0,Mike Scott,ATL,True,2-pointer,0,17-17,'ATL',tied
17,17,17,201511170BRK,25.2,9.2,1st quarter,0:00.0,Thabo Sefolosha,ATL,True,2-pointer,6,19-17,'ATL',leads
18,18,18,201511170BRK,31.6,27.4,2nd quarter,10:52.0,Shelvin Mack,ATL,True,3-pointer,25,22-17,'ATL',leads
19,19,19,201511170BRK,26.0,2.4,2nd quarter,10:14.0,Mike Scott,ATL,True,2-pointer,2,24-17,'ATL',leads
20,20,20,201511170BRK,30.3,27.2,2nd quarter,9:55.0,Justin Holiday,ATL,False,3-pointer,25,25-17,'ATL',leads
21,21,21,201511170BRK,19.7,3.7,2nd quarter,9:20.0,Mike Muscala,ATL,True,2-pointer,4,27-20,'ATL',leads
22,22,22,201511170BRK,47.0,0.4,2nd quarter,8:55.0,Thabo Sefolosha,ATL,False,3-pointer,23,27-20,'ATL',leads
23,23,23,201511170BRK,17.7,6.6,2nd quarter,8:21.0,Shelvin Mack,ATL,True,2-pointer,7,29-20,'ATL',leads
24,24,24,201511170BRK,40.8,21.5,2nd quarter,7:19.0,Shelvin Mack,ATL,True,3-pointer,24,32-22,'ATL',leads
25,25,25,201511170BRK,16.1,9.5,2nd quarter,6:50.0,Shelvin Mack,ATL,False,2-pointer,10,32-25,'ATL',leads
26,26,26,201511170BRK,33.9,24.8,2nd quarter,6:30.0,Shelvin Mack,ATL,False,3-pointer,23,32-25,'ATL',leads
27,27,27,201511170BRK,40.3,0.6,2nd quarter,5:25.0,Paul Millsap,ATL,False,2-pointer,16,35-27,'ATL',leads
28,28,28,201511170BRK,32.4,5.3,2nd quarter,4:42.0,Kyle Korver,ATL,False,2-pointer,8,35-30,'ATL',leads
29,29,29,201511170BRK,26.4,3.2,2nd quarter,4:40.0,Al Horford,ATL,True,2-pointer,2,37-30,'ATL',leads
30,30,30,201511170BRK,15.6,25.4,2nd quarter,3:56.0,Al Horford,ATL,True,3-pointer,23,40-31,'ATL',leads
31,31,31,201511170BRK,20.6,2.4,2nd quarter,3:27.0,Dennis Schröder,ATL,False,2-pointer,3,40-33,'ATL',leads
32,32,32,201511170BRK,22.0,2.5,2nd quarter,2:44.0,Dennis Schröder,ATL,False,2-pointer,2,40-36,'ATL',leads
33,33,33,201511170BRK,47.0,8.1,2nd quarter,2:13.0,Thabo Sefolosha,ATL,False,3-pointer,23,40-36,'ATL',leads
34,34,34,201511170BRK,24.9,14.0,2nd quarter,1:47.0,Dennis Schröder,ATL,False,2-pointer,11,40-38,'ATL',leads
35,35,35,201511170BRK,22.9,14.0,2nd quarter,1:17.0,Paul Millsap,ATL,True,2-pointer,11,42-40,'ATL',leads
36,36,36,201511170BRK,24.1,28.2,2nd quarter,0:47.0,Dennis Schröder,ATL,True,3-pointer,25,45-42,'ATL',leads
37,37,37,201511170BRK,36.0,3.8,2nd quarter,0:04.0,Al Horford,ATL,False,2-pointer,12,45-45,'ATL',tied
38,38,38,201511170BRK,43.1,20.4,3rd quarter,11:21.0,Paul Millsap,ATL,True,3-pointer,25,49-45,'ATL',leads
39,39,39,201511170BRK,14.1,19.0,3rd quarter,10:35.0,Kyle Korver,ATL,True,2-pointer,18,51-47,'ATL',leads
40,40,40,201511170BRK,25.2,2.4,3rd quarter,10:01.0,Tiago Splitter,ATL,False,2-pointer,1,51-49,'ATL',leads
41,41,41,201511170BRK,31.4,6.8,3rd quarter,9:38.0,Dennis Schröder,ATL,True,2-pointer,8,53-51,'ATL',leads
42,42,42,201511170BRK,24.0,8.6,3rd quarter,9:07.0,Tiago Splitter,ATL,False,2-pointer,5,53-53,'ATL',tied
43,43,43,201511170BRK,39.8,1.9,3rd quarter,8:42.0,Al Horford,ATL,True,2-pointer,15,55-53,'ATL',leads
44,44,44,201511170BRK,23.1,28.2,3rd quarter,8:15.0,Kyle Korver,ATL,True,3-pointer,25,58-53,'ATL',leads
45,45,45,201511170BRK,26.2,3.7,3rd quarter,7:28.0,Tiago Splitter,ATL,False,2-pointer,2,58-55,'ATL',leads
46,46,46,201511170BRK,0.2,1.5,3rd quarter,6:22.0,Al Horford,ATL,True,3-pointer,23,61-55,'ATL',leads
47,47,47,201511170BRK,26.7,7.7,3rd quarter,5:41.0,Al Horford,ATL,False,2-pointer,5,61-55,'ATL',leads
48,48,48,201511170BRK,23.9,28.7,3rd quarter,5:17.0,Kyle Korver,ATL,False,3-pointer,25,61-58,'ATL',leads
49,49,49,201511170BRK,8.4,22.8,3rd quarter,5:10.0,Thabo Sefolosha,ATL,False,3-pointer,25,61-58,'ATL',leads
50,50,50,201511170BRK,47.3,0.9,3rd quarter,4:16.0,Justin Holiday,ATL,True,3-pointer,23,64-60,'ATL',leads
51,51,51,201511170BRK,24.9,6.6,3rd quarter,3:39.0,Mike Muscala,ATL,False,2-pointer,3,64-62,'ATL',leads
52,52,52,201511170BRK,43.4,8.2,3rd quarter,2:44.0,Thabo Sefolosha,ATL,False,2-pointer,20,64-62,'ATL',leads
53,53,53,201511170BRK,9.5,2.4,3rd quarter,2:06.0,Paul Millsap,ATL,False,2-pointer,14,64-65,'ATL',trails
