,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,200812040DAL,24.0,5.0,1st quarter,11:46.0,Amar'e Stoudemire,PHO,False,2-pointer,0,0-0,'DAL',tied
1,1,1,200812040DAL,26.0,7.5,1st quarter,11:21.0,Amar'e Stoudemire,PHO,False,2-pointer,3,0-2,'DAL',trails
2,2,2,200812040DAL,24.0,5.0,1st quarter,11:02.0,Amar'e Stoudemire,PHO,True,2-pointer,0,2-4,'DAL',trails
3,3,3,200812040DAL,16.7,19.8,1st quarter,10:01.0,Amar'e Stoudemire,PHO,True,2-pointer,17,4-8,'DAL',trails
4,4,4,200812040DAL,21.3,27.2,1st quarter,9:28.0,Amar'e Stoudemire,PHO,True,2-pointer,22,6-8,'DAL',trails
5,5,5,200812040DAL,33.2,25.9,1st quarter,8:46.0,Steve Nash,PHO,True,2-pointer,23,8-10,'DAL',trails
6,6,6,200812040DAL,28.2,8.0,1st quarter,8:12.0,Matt Barnes,PHO,False,2-pointer,5,8-10,'DAL',trails
7,7,7,200812040DAL,17.6,19.9,1st quarter,7:41.0,Raja Bell,PHO,False,2-pointer,16,8-10,'DAL',trails
8,8,8,200812040DAL,27.9,30.0,1st quarter,7:13.0,Matt Barnes,PHO,True,3-pointer,25,11-12,'DAL',trails
9,9,9,200812040DAL,19.1,7.5,1st quarter,6:39.0,Amar'e Stoudemire,PHO,False,2-pointer,6,11-14,'DAL',trails
10,10,10,200812040DAL,30.7,7.5,1st quarter,5:32.0,Shaquille O'Neal,PHO,False,2-pointer,7,11-14,'DAL',trails
11,11,11,200812040DAL,10.6,26.3,1st quarter,5:18.0,Steve Nash,PHO,True,3-pointer,25,14-16,'DAL',trails
12,12,12,200812040DAL,27.2,22.0,1st quarter,4:14.0,Amar'e Stoudemire,PHO,True,2-pointer,17,16-19,'DAL',trails
13,13,13,200812040DAL,27.6,7.8,1st quarter,3:45.0,Shaquille O'Neal,PHO,False,2-pointer,5,16-19,'DAL',trails
14,14,14,200812040DAL,24.0,5.0,1st quarter,3:30.0,Amar'e Stoudemire,PHO,False,2-pointer,0,16-19,'DAL',trails
15,15,15,200812040DAL,1.7,8.3,1st quarter,2:48.0,Raja Bell,PHO,False,3-pointer,23,16-21,'DAL',trails
16,16,16,200812040DAL,7.2,9.4,1st quarter,2:04.0,Grant Hill,PHO,False,2-pointer,17,18-24,'DAL',trails
17,17,17,200812040DAL,8.0,12.4,1st quarter,1:16.0,Goran Dragić,PHO,True,2-pointer,18,20-24,'DAL',trails
18,18,18,200812040DAL,35.6,14.4,1st quarter,0:42.9,Grant Hill,PHO,False,2-pointer,15,20-26,'DAL',trails
19,19,19,200812040DAL,24.0,5.0,1st quarter,0:40.1,Amar'e Stoudemire,PHO,True,2-pointer,0,22-26,'DAL',trails
20,20,20,200812040DAL,33.2,5.3,1st quarter,0:08.7,Amar'e Stoudemire,PHO,True,2-pointer,9,24-28,'DAL',trails
21,21,21,200812040DAL,24.1,25.5,2nd quarter,11:30.0,Goran Dragić,PHO,False,2-pointer,21,24-35,'DAL',trails
22,22,22,200812040DAL,24.0,5.0,2nd quarter,11:07.0,Boris Diaw,PHO,True,2-pointer,0,26-35,'DAL',trails
23,23,23,200812040DAL,24.0,5.0,2nd quarter,9:51.0,Boris Diaw,PHO,False,2-pointer,0,26-37,'DAL',trails
24,24,24,200812040DAL,46.8,5.4,2nd quarter,9:48.0,Leandro Barbosa,PHO,False,3-pointer,23,26-37,'DAL',trails
25,25,25,200812040DAL,9.8,8.4,2nd quarter,8:44.0,Goran Dragić,PHO,False,2-pointer,15,26-39,'DAL',trails
26,26,26,200812040DAL,7.9,6.1,2nd quarter,8:11.0,Steve Nash,PHO,True,2-pointer,16,28-41,'DAL',trails
27,27,27,200812040DAL,26.1,10.5,2nd quarter,7:40.0,Leandro Barbosa,PHO,False,2-pointer,6,28-42,'DAL',trails
28,28,28,200812040DAL,26.8,30.4,2nd quarter,6:56.0,Steve Nash,PHO,False,3-pointer,26,28-42,'DAL',trails
29,29,29,200812040DAL,46.6,14.7,2nd quarter,6:23.0,Leandro Barbosa,PHO,False,3-pointer,25,28-44,'DAL',trails
30,30,30,200812040DAL,9.8,9.8,2nd quarter,5:43.0,Steve Nash,PHO,False,2-pointer,15,28-47,'DAL',trails
31,31,31,200812040DAL,24.0,5.0,2nd quarter,5:01.0,Leandro Barbosa,PHO,True,2-pointer,0,31-50,'DAL',trails
32,32,32,200812040DAL,24.0,5.0,2nd quarter,4:38.0,Leandro Barbosa,PHO,False,2-pointer,0,31-52,'DAL',trails
33,33,33,200812040DAL,19.2,19.3,2nd quarter,3:48.0,Amar'e Stoudemire,PHO,False,2-pointer,15,33-54,'DAL',trails
34,34,34,200812040DAL,28.2,7.3,2nd quarter,3:38.0,Amar'e Stoudemire,PHO,True,2-pointer,5,35-55,'DAL',trails
35,35,35,200812040DAL,24.0,5.0,2nd quarter,3:02.0,Amar'e Stoudemire,PHO,True,2-pointer,0,38-55,'DAL',trails
36,36,36,200812040DAL,1.1,11.6,2nd quarter,2:26.0,Matt Barnes,PHO,False,3-pointer,24,38-57,'DAL',trails
37,37,37,200812040DAL,36.9,26.1,2nd quarter,2:06.0,Steve Nash,PHO,True,3-pointer,25,41-59,'DAL',trails
38,38,38,200812040DAL,29.4,7.3,2nd quarter,1:38.0,Shaquille O'Neal,PHO,True,2-pointer,6,43-59,'DAL',trails
39,39,39,200812040DAL,26.1,24.7,2nd quarter,1:06.0,Raja Bell,PHO,False,2-pointer,20,43-60,'DAL',trails
40,40,40,200812040DAL,10.2,11.1,2nd quarter,0:34.5,Steve Nash,PHO,True,2-pointer,15,45-62,'DAL',trails
41,41,41,200812040DAL,7.7,12.1,3rd quarter,11:29.0,Amar'e Stoudemire,PHO,True,2-pointer,18,48-66,'DAL',trails
42,42,42,200812040DAL,6.0,22.2,3rd quarter,11:00.0,Raja Bell,PHO,False,3-pointer,25,48-66,'DAL',trails
43,43,43,200812040DAL,26.3,29.4,3rd quarter,10:21.0,Steve Nash,PHO,True,3-pointer,25,51-66,'DAL',trails
44,44,44,200812040DAL,44.9,7.8,3rd quarter,9:40.0,Matt Barnes,PHO,True,2-pointer,21,53-66,'DAL',trails
45,45,45,200812040DAL,20.8,6.9,3rd quarter,8:17.0,Shaquille O'Neal,PHO,False,2-pointer,4,53-68,'DAL',trails
46,46,46,200812040DAL,24.0,5.0,3rd quarter,8:13.0,Amar'e Stoudemire,PHO,False,2-pointer,0,53-68,'DAL',trails
47,47,47,200812040DAL,32.6,22.6,3rd quarter,7:55.0,Amar'e Stoudemire,PHO,False,2-pointer,20,53-68,'DAL',trails
48,48,48,200812040DAL,27.6,8.9,3rd quarter,7:26.0,Shaquille O'Neal,PHO,False,2-pointer,5,53-71,'DAL',trails
49,49,49,200812040DAL,24.0,5.0,3rd quarter,7:09.0,Amar'e Stoudemire,PHO,False,2-pointer,0,53-71,'DAL',trails
50,50,50,200812040DAL,24.0,5.0,3rd quarter,6:34.0,Raja Bell,PHO,True,2-pointer,0,55-73,'DAL',trails
51,51,51,200812040DAL,12.0,15.1,3rd quarter,4:37.0,Steve Nash,PHO,False,2-pointer,16,57-77,'DAL',trails
52,52,52,200812040DAL,24.0,5.0,3rd quarter,4:12.0,Amar'e Stoudemire,PHO,True,2-pointer,0,59-77,'DAL',trails
53,53,53,200812040DAL,28.5,7.5,3rd quarter,3:35.0,Shaquille O'Neal,PHO,False,2-pointer,5,59-79,'DAL',trails
54,54,54,200812040DAL,29.4,6.9,3rd quarter,3:06.0,Amar'e Stoudemire,PHO,False,2-pointer,6,59-82,'DAL',trails
55,55,55,200812040DAL,24.0,5.0,3rd quarter,3:05.0,Amar'e Stoudemire,PHO,True,2-pointer,0,61-82,'DAL',trails
56,56,56,200812040DAL,32.3,28.9,3rd quarter,2:28.0,Matt Barnes,PHO,True,3-pointer,25,65-84,'DAL',trails
57,57,57,200812040DAL,39.9,18.4,3rd quarter,1:54.0,Steve Nash,PHO,True,2-pointer,21,67-87,'DAL',trails
58,58,58,200812040DAL,24.0,5.0,3rd quarter,0:55.9,Boris Diaw,PHO,True,2-pointer,0,71-88,'DAL',trails
59,59,59,200812040DAL,42.5,21.0,3rd quarter,0:36.4,Raja Bell,PHO,True,3-pointer,24,74-88,'DAL',trails
60,60,60,200812040DAL,31.0,28.0,3rd quarter,0:02.9,Steve Nash,PHO,False,3-pointer,24,74-88,'DAL',trails
61,61,61,200812040DAL,40.2,14.7,4th quarter,11:52.0,Leandro Barbosa,PHO,True,2-pointer,19,76-88,'DAL',trails
62,62,62,200812040DAL,27.4,7.6,4th quarter,10:51.0,Boris Diaw,PHO,True,2-pointer,4,78-88,'DAL',trails
63,63,63,200812040DAL,41.9,8.9,4th quarter,9:42.0,Leandro Barbosa,PHO,False,2-pointer,18,78-90,'DAL',trails
64,64,64,200812040DAL,24.0,5.0,4th quarter,9:10.0,Grant Hill,PHO,False,2-pointer,0,78-92,'DAL',trails
65,65,65,200812040DAL,28.8,29.6,4th quarter,8:19.0,Grant Hill,PHO,False,3-pointer,25,78-94,'DAL',trails
66,66,66,200812040DAL,24.0,5.0,4th quarter,8:18.0,Matt Barnes,PHO,False,2-pointer,0,78-94,'DAL',trails
67,67,67,200812040DAL,25.3,8.4,4th quarter,7:48.0,Grant Hill,PHO,False,2-pointer,4,78-96,'DAL',trails
68,68,68,200812040DAL,19.5,9.7,4th quarter,7:32.0,Boris Diaw,PHO,False,2-pointer,7,78-96,'DAL',trails
69,69,69,200812040DAL,28.2,8.9,4th quarter,6:57.0,Grant Hill,PHO,True,2-pointer,6,80-98,'DAL',trails
70,70,70,200812040DAL,10.9,14.7,4th quarter,6:20.0,Grant Hill,PHO,False,2-pointer,16,80-100,'DAL',trails
71,71,71,200812040DAL,24.0,5.0,4th quarter,5:36.0,Grant Hill,PHO,True,2-pointer,0,82-100,'DAL',trails
72,72,72,200812040DAL,0.6,7.5,4th quarter,5:04.0,Matt Barnes,PHO,False,3-pointer,24,82-102,'DAL',trails
73,73,73,200812040DAL,24.0,5.0,4th quarter,4:36.0,Amar'e Stoudemire,PHO,False,2-pointer,0,82-102,'DAL',trails
74,74,74,200812040DAL,24.0,5.0,4th quarter,3:58.0,Boris Diaw,PHO,True,2-pointer,0,84-105,'DAL',trails
75,75,75,200812040DAL,19.7,16.8,4th quarter,3:29.0,Lou Amundson,PHO,False,2-pointer,13,84-105,'DAL',trails
76,76,76,200812040DAL,24.0,5.0,4th quarter,2:57.0,Goran Dragić,PHO,False,2-pointer,0,86-105,'DAL',trails
77,77,77,200812040DAL,24.0,5.0,4th quarter,2:52.0,Boris Diaw,PHO,True,2-pointer,0,88-105,'DAL',trails
78,78,78,200812040DAL,14.5,27.8,4th quarter,2:04.0,Goran Dragić,PHO,False,3-pointer,25,88-108,'DAL',trails
79,79,79,200812040DAL,16.7,8.1,4th quarter,0:52.5,Goran Dragić,PHO,True,2-pointer,8,92-110,'DAL',trails
80,80,80,200812040DAL,24.0,5.0,4th quarter,0:16.9,Lou Amundson,PHO,True,2-pointer,0,97-112,'DAL',trails
81,81,81,200812040DAL,30.7,21.4,1st quarter,11:33.0,Dirk Nowitzki,DAL,True,2-pointer,18,2-0,'DAL',leads
82,82,82,200812040DAL,24.0,5.0,1st quarter,11:14.0,Erick Dampier,DAL,True,2-pointer,0,4-0,'DAL',leads
83,83,83,200812040DAL,24.0,5.0,1st quarter,10:43.0,Erick Dampier,DAL,True,2-pointer,0,6-2,'DAL',leads
84,84,84,200812040DAL,26.3,17.9,1st quarter,10:15.0,Devean George,DAL,True,2-pointer,13,8-2,'DAL',leads
85,85,85,200812040DAL,32.4,26.3,1st quarter,9:09.0,J.J. Barea,DAL,False,2-pointer,23,8-6,'DAL',leads
86,86,86,200812040DAL,12.9,22.0,1st quarter,8:57.0,Dirk Nowitzki,DAL,True,2-pointer,20,10-6,'DAL',leads
87,87,87,200812040DAL,18.1,10.0,1st quarter,8:25.0,J.J. Barea,DAL,False,2-pointer,8,10-8,'DAL',leads
88,88,88,200812040DAL,24.0,5.0,1st quarter,8:22.0,Erick Dampier,DAL,False,2-pointer,0,10-8,'DAL',leads
89,89,89,200812040DAL,28.7,7.5,1st quarter,7:54.0,Dirk Nowitzki,DAL,False,2-pointer,5,10-8,'DAL',leads
90,90,90,200812040DAL,29.1,20.6,1st quarter,7:27.0,Dirk Nowitzki,DAL,True,2-pointer,16,12-8,'DAL',leads
91,91,91,200812040DAL,15.3,19.9,1st quarter,6:56.0,J.J. Barea,DAL,True,2-pointer,17,14-11,'DAL',leads
92,92,92,200812040DAL,1.4,5.1,1st quarter,6:25.0,Devean George,DAL,False,3-pointer,23,14-11,'DAL',leads
93,93,93,200812040DAL,4.1,19.5,1st quarter,6:16.0,Devean George,DAL,False,3-pointer,25,14-11,'DAL',leads
94,94,94,200812040DAL,34.5,25.3,1st quarter,6:03.0,J.J. Barea,DAL,False,2-pointer,23,14-11,'DAL',leads
95,95,95,200812040DAL,24.0,5.0,1st quarter,5:41.0,J.J. Barea,DAL,False,2-pointer,0,14-11,'DAL',leads
96,96,96,200812040DAL,24.0,5.0,1st quarter,5:27.0,Dirk Nowitzki,DAL,True,2-pointer,0,16-11,'DAL',leads
97,97,97,200812040DAL,7.9,11.6,1st quarter,4:56.0,Dirk Nowitzki,DAL,False,2-pointer,17,16-14,'DAL',leads
98,98,98,200812040DAL,17.8,15.1,1st quarter,4:38.0,Dirk Nowitzki,DAL,False,2-pointer,12,16-14,'DAL',leads
99,99,99,200812040DAL,11.2,26.1,1st quarter,4:33.0,Dirk Nowitzki,DAL,True,3-pointer,25,19-14,'DAL',leads
100,100,100,200812040DAL,34.2,27.5,1st quarter,3:54.0,Jason Kidd,DAL,False,3-pointer,25,19-16,'DAL',leads
