,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,200112150CHH,19.0,10.3,1st quarter,11:43.0,Kenny Anderson,BOS,False,2-pointer,7,0-0,'CHH',tied
1,1,1,200112150CHH,7.8,8.0,1st quarter,11:22.0,Tony Battie,BOS,False,2-pointer,16,0-0,'CHH',tied
2,2,2,200112150CHH,32.9,30.1,1st quarter,10:11.0,Paul Pierce,BOS,True,3-pointer,27,5-2,'CHH',leads
3,3,3,200112150CHH,21.7,11.3,1st quarter,9:39.0,Joe Johnson,BOS,False,2-pointer,7,5-4,'CHH',leads
4,4,4,200112150CHH,27.2,11.3,1st quarter,9:29.0,Antoine Walker,BOS,False,2-pointer,7,5-4,'CHH',leads
5,5,5,200112150CHH,24.0,5.0,1st quarter,9:26.0,Tony Battie,BOS,True,2-pointer,0,7-4,'CHH',leads
6,6,6,200112150CHH,45.6,16.8,1st quarter,9:03.0,Antoine Walker,BOS,False,3-pointer,25,7-6,'CHH',leads
7,7,7,200112150CHH,8.5,14.7,1st quarter,8:26.0,Paul Pierce,BOS,False,2-pointer,18,7-8,'CHH',trails
8,8,8,200112150CHH,29.4,11.3,1st quarter,7:56.0,Tony Battie,BOS,False,2-pointer,8,7-10,'CHH',trails
9,9,9,200112150CHH,16.9,11.3,1st quarter,7:51.0,Kenny Anderson,BOS,True,2-pointer,9,9-10,'CHH',trails
10,10,10,200112150CHH,24.0,5.0,1st quarter,7:28.0,Joe Johnson,BOS,True,2-pointer,0,11-10,'CHH',leads
11,11,11,200112150CHH,44.1,6.5,1st quarter,6:46.0,Joe Johnson,BOS,True,2-pointer,20,14-10,'CHH',leads
12,12,12,200112150CHH,6.4,8.6,1st quarter,6:19.0,Paul Pierce,BOS,True,2-pointer,18,16-12,'CHH',leads
13,13,13,200112150CHH,24.0,5.0,1st quarter,6:03.0,Tony Battie,BOS,False,2-pointer,0,16-12,'CHH',leads
14,14,14,200112150CHH,24.0,5.0,1st quarter,5:47.0,Paul Pierce,BOS,True,2-pointer,0,18-12,'CHH',leads
15,15,15,200112150CHH,18.4,24.0,1st quarter,4:52.0,Kenny Anderson,BOS,True,2-pointer,20,22-12,'CHH',leads
16,16,16,200112150CHH,33.6,23.6,1st quarter,4:17.0,Kenny Anderson,BOS,True,2-pointer,21,24-14,'CHH',leads
17,17,17,200112150CHH,8.5,19.8,1st quarter,3:39.0,Antoine Walker,BOS,True,2-pointer,21,26-16,'CHH',leads
18,18,18,200112150CHH,34.2,27.4,1st quarter,2:46.0,Joe Johnson,BOS,False,3-pointer,25,28-19,'CHH',leads
19,19,19,200112150CHH,46.2,4.4,1st quarter,2:17.0,Eric Williams,BOS,True,3-pointer,22,31-19,'CHH',leads
20,20,20,200112150CHH,21.7,11.3,1st quarter,1:12.0,Vitaly Potapenko,BOS,True,2-pointer,7,33-21,'CHH',leads
21,21,21,200112150CHH,34.2,28.0,1st quarter,0:50.1,Paul Pierce,BOS,False,3-pointer,25,33-21,'CHH',leads
22,22,22,200112150CHH,8.5,27.4,1st quarter,0:28.6,Antoine Walker,BOS,False,3-pointer,27,33-24,'CHH',leads
23,23,23,200112150CHH,9.7,32.2,1st quarter,0:00.3,Paul Pierce,BOS,False,3-pointer,31,33-26,'CHH',leads
