,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status,match_date,season
30099,283,283,283,202012220LAL,25.6,29.7,1st quarter,11:03.0,LeBron James,LAL,False,3-pointer,26,0-2,'LAL',trails,2020-12-22,2020-21
30100,287,287,287,202012220LAL,21.0,28.5,1st quarter,8:10.0,LeBron James,LAL,False,3-pointer,25,5-14,'LAL',trails,2020-12-22,2020-21
30101,288,288,288,202012220LAL,25.8,4.8,1st quarter,7:14.0,LeBron James,LAL,False,2-pointer,2,5-16,'LAL',trails,2020-12-22,2020-21
30102,289,289,289,202012220LAL,46.8,8.7,1st quarter,6:54.0,LeBron James,LAL,True,3-pointer,23,8-16,'LAL',trails,2020-12-22,2020-21
30103,300,300,300,202012220LAL,25.3,5.2,2nd quarter,11:38.0,LeBron James,LAL,False,2-pointer,2,19-39,'LAL',trails,2020-12-22,2020-21
30104,317,317,317,202012220LAL,23.0,4.7,2nd quarter,2:10.0,LeBron James,LAL,False,2-pointer,2,46-53,'LAL',trails,2020-12-22,2020-21
30105,318,318,318,202012220LAL,23.2,4.7,2nd quarter,1:39.0,LeBron James,LAL,True,2-pointer,2,50-53,'LAL',trails,2020-12-22,2020-21
30106,319,319,319,202012220LAL,24.8,5.7,2nd quarter,0:52.0,LeBron James,LAL,True,2-pointer,3,53-56,'LAL',trails,2020-12-22,2020-21
30107,323,323,323,202012220LAL,9.7,25.4,3rd quarter,10:17.0,LeBron James,LAL,True,3-pointer,26,59-63,'LAL',trails,2020-12-22,2020-21
30108,324,324,324,202012220LAL,23.6,4.6,3rd quarter,9:51.0,LeBron James,LAL,True,2-pointer,1,61-63,'LAL',trails,2020-12-22,2020-21
30109,329,329,329,202012220LAL,12.0,29.6,3rd quarter,7:52.0,LeBron James,LAL,True,3-pointer,29,68-69,'LAL',trails,2020-12-22,2020-21
30110,330,330,330,202012220LAL,25.3,6.8,3rd quarter,6:42.0,LeBron James,LAL,False,2-pointer,4,68-71,'LAL',trails,2020-12-22,2020-21
30111,333,333,333,202012220LAL,19.2,28.5,3rd quarter,5:48.0,LeBron James,LAL,False,3-pointer,26,70-71,'LAL',trails,2020-12-22,2020-21
30112,347,347,347,202012220LAL,23.4,4.3,4th quarter,11:20.0,LeBron James,LAL,False,2-pointer,1,80-91,'LAL',trails,2020-12-22,2020-21
30113,348,348,348,202012220LAL,39.1,25.2,4th quarter,10:53.0,LeBron James,LAL,False,3-pointer,27,80-91,'LAL',trails,2020-12-22,2020-21
30114,349,349,349,202012220LAL,25.9,5.5,4th quarter,10:48.0,LeBron James,LAL,True,2-pointer,3,82-91,'LAL',trails,2020-12-22,2020-21
30115,352,352,352,202012220LAL,32.0,28.0,4th quarter,8:35.0,LeBron James,LAL,False,3-pointer,26,90-99,'LAL',trails,2020-12-22,2020-21
30116,411,411,411,202012250LAL,24.6,5.1,1st quarter,11:25.0,LeBron James,LAL,True,2-pointer,2,2-3,'DAL',trails,2020-12-25,2020-21
30117,412,412,412,202012250LAL,37.1,25.2,1st quarter,10:50.0,LeBron James,LAL,False,3-pointer,26,2-5,'DAL',trails,2020-12-25,2020-21
30118,420,420,420,202012250LAL,22.2,13.9,1st quarter,6:08.0,LeBron James,LAL,False,2-pointer,11,18-15,'DAL',leads,2020-12-25,2020-21
30119,422,422,422,202012250LAL,9.2,28.2,1st quarter,5:36.0,LeBron James,LAL,True,3-pointer,29,21-15,'DAL',leads,2020-12-25,2020-21
30120,433,433,433,202012250LAL,13.3,3.2,1st quarter,0:16.0,LeBron James,LAL,False,2-pointer,11,32-28,'DAL',leads,2020-12-25,2020-21
