,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status,match_date,season
25232,96,96,96,201710170CLE,33.2,17.3,1st quarter,6:26.0,LeBron James,CLE,False,2-pointer,17,9-12,'BOS',trails,2017-10-17,2017-18
25233,98,98,98,201710170CLE,9.5,19.2,1st quarter,5:44.0,LeBron James,CLE,True,2-pointer,21,11-12,'BOS',trails,2017-10-17,2017-18
25234,101,101,101,201710170CLE,24.9,4.1,1st quarter,4:31.0,LeBron James,CLE,True,2-pointer,1,15-14,'BOS',leads,2017-10-17,2017-18
25235,111,111,111,201710170CLE,1.2,2.9,2nd quarter,10:28.0,LeBron James,CLE,False,3-pointer,22,30-21,'BOS',leads,2017-10-17,2017-18
25236,112,112,112,201710170CLE,24.8,3.1,2nd quarter,10:17.0,LeBron James,CLE,True,2-pointer,0,32-21,'BOS',leads,2017-10-17,2017-18
25237,114,114,114,201710170CLE,24.3,3.9,2nd quarter,9:29.0,LeBron James,CLE,True,2-pointer,0,34-21,'BOS',leads,2017-10-17,2017-18
25238,122,122,122,201710170CLE,31.0,9.8,2nd quarter,4:15.0,LeBron James,CLE,True,2-pointer,9,46-30,'BOS',leads,2017-10-17,2017-18
25239,127,127,127,201710170CLE,42.3,6.2,2nd quarter,0:57.0,LeBron James,CLE,True,2-pointer,18,52-36,'BOS',leads,2017-10-17,2017-18
25240,131,131,131,201710170CLE,23.4,5.1,3rd quarter,10:25.0,LeBron James,CLE,True,2-pointer,2,60-42,'BOS',leads,2017-10-17,2017-18
25241,134,134,134,201710170CLE,3.0,19.2,3rd quarter,9:07.0,LeBron James,CLE,False,3-pointer,26,61-46,'BOS',leads,2017-10-17,2017-18
25242,153,153,153,201710170CLE,25.6,3.5,4th quarter,10:11.0,LeBron James,CLE,False,2-pointer,1,76-74,'BOS',leads,2017-10-17,2017-18
25243,154,154,154,201710170CLE,24.2,4.2,4th quarter,9:59.0,LeBron James,CLE,True,2-pointer,1,78-74,'BOS',leads,2017-10-17,2017-18
25244,156,156,156,201710170CLE,13.0,14.0,4th quarter,8:39.0,LeBron James,CLE,False,2-pointer,15,78-79,'BOS',trails,2017-10-17,2017-18
25245,163,163,163,201710170CLE,23.5,4.3,4th quarter,4:32.0,LeBron James,CLE,True,2-pointer,1,88-89,'BOS',trails,2017-10-17,2017-18
25246,164,164,164,201710170CLE,11.0,28.8,4th quarter,3:47.0,LeBron James,CLE,True,3-pointer,28,91-92,'BOS',trails,2017-10-17,2017-18
25247,165,165,165,201710170CLE,14.2,27.1,4th quarter,3:21.0,LeBron James,CLE,False,3-pointer,26,91-92,'BOS',trails,2017-10-17,2017-18
25248,166,166,166,201710170CLE,24.2,4.6,4th quarter,2:24.0,LeBron James,CLE,True,2-pointer,1,95-96,'BOS',trails,2017-10-17,2017-18
25249,168,168,168,201710170CLE,24.2,5.0,4th quarter,1:19.0,LeBron James,CLE,True,2-pointer,2,99-98,'BOS',leads,2017-10-17,2017-18
25250,170,170,170,201710170CLE,10.7,25.8,4th quarter,0:09.0,LeBron James,CLE,False,3-pointer,26,102-99,'BOS',leads,2017-10-17,2017-18
25251,691,691,691,201710200MIL,23.6,5.2,1st quarter,11:39.0,LeBron James,CLE,False,2-pointer,2,0-0,'MIL',tied,2017-10-20,2017-18
25252,701,701,701,201710200MIL,23.7,4.5,1st quarter,4:59.0,LeBron James,CLE,False,2-pointer,1,19-21,'MIL',trails,2017-10-20,2017-18
25253,704,704,704,201710200MIL,24.2,4.4,1st quarter,3:53.0,LeBron James,CLE,True,2-pointer,1,23-21,'MIL',leads,2017-10-20,2017-18
25254,711,711,711,201710200MIL,23.5,3.3,2nd quarter,11:20.0,LeBron James,CLE,False,2-pointer,0,25-25,'MIL',tied,2017-10-20,2017-18
25255,722,722,722,201710200MIL,24.7,3.6,2nd quarter,4:32.0,LeBron James,CLE,True,2-pointer,0,39-41,'MIL',trails,2017-10-20,2017-18
25256,724,724,724,201710200MIL,24.6,5.5,2nd quarter,3:27.0,LeBron James,CLE,True,2-pointer,2,44-41,'MIL',leads,2017-10-20,2017-18
25257,726,726,726,201710200MIL,24.6,4.1,2nd quarter,2:09.0,LeBron James,CLE,True,2-pointer,1,49-45,'MIL',leads,2017-10-20,2017-18
25258,731,731,731,201710200MIL,7.4,13.7,3rd quarter,11:25.0,LeBron James,CLE,False,2-pointer,19,55-49,'MIL',leads,2017-10-20,2017-18
25259,732,732,732,201710200MIL,36.5,26.8,3rd quarter,10:39.0,LeBron James,CLE,False,3-pointer,26,55-51,'MIL',leads,2017-10-20,2017-18
25260,740,740,740,201710200MIL,24.0,4.3,3rd quarter,6:33.0,LeBron James,CLE,True,2-pointer,1,66-63,'MIL',leads,2017-10-20,2017-18
25261,743,743,743,201710200MIL,23.5,4.8,3rd quarter,5:15.0,LeBron James,CLE,True,2-pointer,1,71-63,'MIL',leads,2017-10-20,2017-18
25262,751,751,751,201710200MIL,24.0,2.4,3rd quarter,1:06.0,LeBron James,CLE,True,2-pointer,0,84-73,'MIL',leads,2017-10-20,2017-18
25263,764,764,764,201710200MIL,25.5,29.8,4th quarter,6:20.0,LeBron James,CLE,True,3-pointer,26,101-86,'MIL',leads,2017-10-20,2017-18
25264,766,766,766,201710200MIL,13.5,27.9,4th quarter,4:39.0,LeBron James,CLE,True,3-pointer,27,107-89,'MIL',leads,2017-10-20,2017-18
25265,768,768,768,201710200MIL,12.1,28.2,4th quarter,3:06.0,LeBron James,CLE,False,3-pointer,27,107-95,'MIL',leads,2017-10-20,2017-18
25266,769,769,769,201710200MIL,23.5,4.3,4th quarter,2:11.0,LeBron James,CLE,True,2-pointer,1,111-97,'MIL',leads,2017-10-20,2017-18
25267,266,266,266,201710210CLE,23.5,3.1,1st quarter,9:59.0,LeBron James,CLE,True,2-pointer,0,2-8,'ORL',trails,2017-10-21,2017-18
25268,267,267,267,201710210CLE,24.9,3.1,1st quarter,9:21.0,LeBron James,CLE,False,2-pointer,0,2-10,'ORL',trails,2017-10-21,2017-18
25269,276,276,276,201710210CLE,24.4,4.5,1st quarter,5:16.0,LeBron James,CLE,True,2-pointer,1,6-18,'ORL',trails,2017-10-21,2017-18
25270,282,282,282,201710210CLE,23.4,3.8,1st quarter,3:12.0,LeBron James,CLE,True,2-pointer,1,10-22,'ORL',trails,2017-10-21,2017-18
25271,285,285,285,201710210CLE,16.4,28.3,1st quarter,1:45.0,LeBron James,CLE,False,3-pointer,26,10-28,'ORL',trails,2017-10-21,2017-18
25272,286,286,286,201710210CLE,24.3,12.1,1st quarter,1:14.0,LeBron James,CLE,True,2-pointer,9,12-30,'ORL',trails,2017-10-21,2017-18
25273,287,287,287,201710210CLE,24.2,4.6,1st quarter,0:48.0,LeBron James,CLE,True,2-pointer,1,14-33,'ORL',trails,2017-10-21,2017-18
25274,288,288,288,201710210CLE,23.4,4.6,1st quarter,0:23.0,LeBron James,CLE,True,2-pointer,1,17-33,'ORL',trails,2017-10-21,2017-18
25275,305,305,305,201710210CLE,23.8,3.6,2nd quarter,3:20.0,LeBron James,CLE,True,2-pointer,0,41-52,'ORL',trails,2017-10-21,2017-18
25276,308,308,308,201710210CLE,23.3,5.9,2nd quarter,0:48.0,LeBron James,CLE,False,2-pointer,2,44-55,'ORL',trails,2017-10-21,2017-18
25277,311,311,311,201710210CLE,24.0,6.5,3rd quarter,11:46.0,LeBron James,CLE,False,2-pointer,3,45-56,'ORL',trails,2017-10-21,2017-18
25278,318,318,318,201710210CLE,20.4,28.7,3rd quarter,7:27.0,LeBron James,CLE,True,3-pointer,25,53-65,'ORL',trails,2017-10-21,2017-18
25279,330,330,330,201710210CLE,18.8,27.3,4th quarter,11:02.0,LeBron James,CLE,False,3-pointer,24,65-90,'ORL',trails,2017-10-21,2017-18
25280,331,331,331,201710210CLE,12.9,8.5,4th quarter,10:22.0,LeBron James,CLE,False,2-pointer,12,65-92,'ORL',trails,2017-10-21,2017-18
25281,335,335,335,201710210CLE,39.2,6.7,4th quarter,8:42.0,LeBron James,CLE,False,2-pointer,15,67-96,'ORL',trails,2017-10-21,2017-18
25282,249,249,249,201710240CLE,11.9,19.3,1st quarter,10:11.0,LeBron James,CLE,True,2-pointer,20,2-7,'CLE',trails,2017-10-24,2017-18
25283,257,257,257,201710240CLE,19.0,30.3,1st quarter,6:18.0,LeBron James,CLE,True,3-pointer,27,12-22,'CLE',trails,2017-10-24,2017-18
25284,258,258,258,201710240CLE,12.8,18.3,1st quarter,5:26.0,LeBron James,CLE,False,2-pointer,18,12-24,'CLE',trails,2017-10-24,2017-18
25285,259,259,259,201710240CLE,1.4,5.6,1st quarter,5:00.0,LeBron James,CLE,True,3-pointer,22,15-26,'CLE',trails,2017-10-24,2017-18
25286,260,260,260,201710240CLE,23.1,4.2,1st quarter,4:28.0,LeBron James,CLE,True,2-pointer,1,17-26,'CLE',trails,2017-10-24,2017-18
25287,262,262,262,201710240CLE,25.0,5.0,1st quarter,3:27.0,LeBron James,CLE,False,2-pointer,2,17-28,'CLE',trails,2017-10-24,2017-18
25288,263,263,263,201710240CLE,23.8,5.5,1st quarter,3:10.0,LeBron James,CLE,True,2-pointer,2,19-28,'CLE',trails,2017-10-24,2017-18
25289,277,277,277,201710240CLE,15.0,23.1,2nd quarter,7:14.0,LeBron James,CLE,False,2-pointer,22,44-49,'CLE',trails,2017-10-24,2017-18
25290,279,279,279,201710240CLE,24.8,5.5,2nd quarter,6:07.0,LeBron James,CLE,True,2-pointer,2,46-49,'CLE',trails,2017-10-24,2017-18
25291,283,283,283,201710240CLE,24.4,4.8,2nd quarter,3:53.0,LeBron James,CLE,True,2-pointer,1,51-57,'CLE',trails,2017-10-24,2017-18
25292,286,286,286,201710240CLE,16.1,27.3,2nd quarter,2:29.0,LeBron James,CLE,True,3-pointer,25,57-62,'CLE',trails,2017-10-24,2017-18
25293,291,291,291,201710240CLE,13.4,27.3,2nd quarter,0:05.0,LeBron James,CLE,True,3-pointer,26,65-68,'CLE',trails,2017-10-24,2017-18
25294,294,294,294,201710240CLE,41.2,23.8,3rd quarter,10:57.0,LeBron James,CLE,False,3-pointer,26,67-70,'CLE',trails,2017-10-24,2017-18
25295,295,295,295,201710240CLE,23.2,2.9,3rd quarter,10:30.0,LeBron James,CLE,True,2-pointer,0,69-70,'CLE',trails,2017-10-24,2017-18
25296,301,301,301,201710240CLE,15.5,23.8,3rd quarter,7:00.0,LeBron James,CLE,True,2-pointer,22,81-72,'CLE',leads,2017-10-24,2017-18
25297,320,320,320,201710240CLE,25.1,3.5,4th quarter,6:51.0,LeBron James,CLE,True,2-pointer,1,111-103,'CLE',leads,2017-10-24,2017-18
25298,324,324,324,201710240CLE,20.5,23.4,4th quarter,3:10.0,LeBron James,CLE,False,2-pointer,20,116-107,'CLE',leads,2017-10-24,2017-18
25299,326,326,326,201710240CLE,16.4,27.7,4th quarter,1:50.0,LeBron James,CLE,False,3-pointer,25,116-110,'CLE',leads,2017-10-24,2017-18
25300,328,328,328,201710240CLE,23.7,3.5,4th quarter,1:02.0,LeBron James,CLE,True,2-pointer,0,118-110,'CLE',leads,2017-10-24,2017-18
25301,329,329,329,201710240CLE,18.8,6.7,4th quarter,0:34.0,LeBron James,CLE,False,2-pointer,6,118-112,'CLE',leads,2017-10-24,2017-18
25302,5,5,5,201710250BRK,13.5,17.8,1st quarter,9:08.0,LeBron James,CLE,True,2-pointer,18,7-2,'CLE',leads,2017-10-25,2017-18
25303,7,7,7,201710250BRK,9.3,15.5,1st quarter,7:25.0,LeBron James,CLE,True,2-pointer,19,11-2,'CLE',leads,2017-10-25,2017-18
25304,8,8,8,201710250BRK,11.8,12.6,1st quarter,6:54.0,LeBron James,CLE,True,2-pointer,15,13-4,'CLE',leads,2017-10-25,2017-18
25305,9,9,9,201710250BRK,9.9,12.5,1st quarter,6:33.0,LeBron James,CLE,False,2-pointer,17,13-4,'CLE',leads,2017-10-25,2017-18
25306,10,10,10,201710250BRK,15.9,9.1,1st quarter,5:00.0,LeBron James,CLE,False,2-pointer,10,13-12,'CLE',leads,2017-10-25,2017-18
25307,11,11,11,201710250BRK,18.6,6.4,1st quarter,4:47.0,LeBron James,CLE,False,2-pointer,6,13-12,'CLE',leads,2017-10-25,2017-18
25308,34,34,34,201710250BRK,24.9,5.1,2nd quarter,3:25.0,LeBron James,CLE,True,2-pointer,2,43-43,'CLE',tied,2017-10-25,2017-18
25309,36,36,36,201710250BRK,20.9,5.4,2nd quarter,1:52.0,LeBron James,CLE,False,2-pointer,3,46-48,'CLE',trails,2017-10-25,2017-18
25310,38,38,38,201710250BRK,20.3,4.4,2nd quarter,0:35.0,LeBron James,CLE,True,2-pointer,3,52-52,'CLE',tied,2017-10-25,2017-18
25311,42,42,42,201710250BRK,27.6,5.1,3rd quarter,9:52.0,LeBron James,CLE,False,2-pointer,4,55-59,'CLE',trails,2017-10-25,2017-18
25312,44,44,44,201710250BRK,27.5,5.2,3rd quarter,8:09.0,LeBron James,CLE,True,2-pointer,4,57-61,'CLE',trails,2017-10-25,2017-18
25313,47,47,47,201710250BRK,27.0,29.5,3rd quarter,6:56.0,LeBron James,CLE,True,3-pointer,26,60-64,'CLE',trails,2017-10-25,2017-18
25314,54,54,54,201710250BRK,18.9,7.6,3rd quarter,2:25.0,LeBron James,CLE,False,2-pointer,6,68-75,'CLE',trails,2017-10-25,2017-18
25315,55,55,55,201710250BRK,37.8,25.3,3rd quarter,1:39.0,LeBron James,CLE,False,3-pointer,26,68-78,'CLE',trails,2017-10-25,2017-18
25316,62,62,62,201710250BRK,27.6,4.6,4th quarter,9:39.0,LeBron James,CLE,True,2-pointer,3,81-87,'CLE',trails,2017-10-25,2017-18
25317,66,66,66,201710250BRK,28.0,8.9,4th quarter,7:13.0,LeBron James,CLE,False,2-pointer,7,85-92,'CLE',trails,2017-10-25,2017-18
25318,68,68,68,201710250BRK,24.6,3.8,4th quarter,6:30.0,LeBron James,CLE,True,2-pointer,1,87-92,'CLE',trails,2017-10-25,2017-18
25319,69,69,69,201710250BRK,19.9,4.3,4th quarter,6:03.0,LeBron James,CLE,True,2-pointer,4,89-92,'CLE',trails,2017-10-25,2017-18
25320,71,71,71,201710250BRK,27.2,5.0,4th quarter,4:31.0,LeBron James,CLE,True,2-pointer,3,96-94,'CLE',leads,2017-10-25,2017-18
25321,73,73,73,201710250BRK,15.5,5.0,4th quarter,3:25.0,LeBron James,CLE,True,2-pointer,8,98-97,'CLE',leads,2017-10-25,2017-18
25322,819,819,819,201710280NOP,24.0,4.5,1st quarter,8:52.0,LeBron James,CLE,True,2-pointer,1,9-9,'NOP',tied,2017-10-28,2017-18
25323,823,823,823,201710280NOP,28.4,20.8,1st quarter,6:24.0,LeBron James,CLE,False,2-pointer,18,12-17,'NOP',trails,2017-10-28,2017-18
25324,824,824,824,201710280NOP,38.2,3.3,1st quarter,5:47.0,LeBron James,CLE,True,2-pointer,14,14-17,'NOP',trails,2017-10-28,2017-18
25325,826,826,826,201710280NOP,18.6,9.3,1st quarter,4:42.0,LeBron James,CLE,False,2-pointer,8,17-22,'NOP',trails,2017-10-28,2017-18
25326,827,827,827,201710280NOP,28.5,5.2,1st quarter,3:56.0,LeBron James,CLE,False,2-pointer,5,18-26,'NOP',trails,2017-10-28,2017-18
25327,833,833,833,201710280NOP,0.9,11.9,1st quarter,0:57.0,LeBron James,CLE,False,3-pointer,24,20-33,'NOP',trails,2017-10-28,2017-18
25328,858,858,858,201710280NOP,9.0,26.1,3rd quarter,10:48.0,LeBron James,CLE,True,3-pointer,27,55-65,'NOP',trails,2017-10-28,2017-18
25329,864,864,864,201710280NOP,29.1,16.4,3rd quarter,7:31.0,LeBron James,CLE,True,2-pointer,14,65-69,'NOP',trails,2017-10-28,2017-18
25330,865,865,865,201710280NOP,35.8,20.1,3rd quarter,6:45.0,LeBron James,CLE,True,2-pointer,20,67-72,'NOP',trails,2017-10-28,2017-18
25331,872,872,872,201710280NOP,40.3,24.0,3rd quarter,2:48.0,LeBron James,CLE,False,3-pointer,26,75-84,'NOP',trails,2017-10-28,2017-18
25332,875,875,875,201710280NOP,22.1,5.3,3rd quarter,0:27.0,LeBron James,CLE,True,2-pointer,2,83-86,'NOP',trails,2017-10-28,2017-18
25333,639,639,639,201710290CLE,37.6,2.8,1st quarter,5:47.0,LeBron James,CLE,False,2-pointer,13,13-13,'NYK',tied,2017-10-29,2017-18
25334,650,650,650,201710290CLE,23.9,9.5,1st quarter,1:11.0,LeBron James,CLE,True,2-pointer,6,19-27,'NYK',trails,2017-10-29,2017-18
