,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status,match_date,season
18163,425,425,425,201310290MIA,33.7,13.7,1st quarter,8:46.0,LeBron James,MIA,False,2-pointer,14,2-7,'MIA',trails,2013-10-29,2013-14
18164,428,428,428,201310290MIA,34.8,20.3,1st quarter,7:00.0,LeBron James,MIA,False,2-pointer,20,2-9,'MIA',trails,2013-10-29,2013-14
18165,432,432,432,201310290MIA,4.2,7.5,1st quarter,4:06.0,LeBron James,MIA,True,2-pointer,20,10-13,'MIA',trails,2013-10-29,2013-14
18166,441,441,441,201310290MIA,26.1,3.7,1st quarter,0:00.0,LeBron James,MIA,False,2-pointer,2,17-15,'MIA',leads,2013-10-29,2013-14
18167,455,455,455,201310290MIA,25.5,4.7,2nd quarter,5:16.0,LeBron James,MIA,True,2-pointer,2,36-20,'MIA',leads,2013-10-29,2013-14
18168,457,457,457,201310290MIA,24.1,3.3,2nd quarter,4:23.0,LeBron James,MIA,True,2-pointer,0,41-20,'MIA',leads,2013-10-29,2013-14
18169,465,465,465,201310290MIA,21.6,20.8,3rd quarter,7:35.0,LeBron James,MIA,False,2-pointer,18,60-41,'MIA',leads,2013-10-29,2013-14
18170,468,468,468,201310290MIA,39.9,23.6,3rd quarter,6:03.0,LeBron James,MIA,False,3-pointer,26,62-41,'MIA',leads,2013-10-29,2013-14
18171,473,473,473,201310290MIA,25.2,3.9,3rd quarter,0:22.0,LeBron James,MIA,False,2-pointer,2,76-58,'MIA',leads,2013-10-29,2013-14
18172,483,483,483,201310290MIA,23.2,3.7,4th quarter,4:31.0,LeBron James,MIA,True,2-pointer,1,95-79,'MIA',leads,2013-10-29,2013-14
18173,488,488,488,201310290MIA,34.5,16.8,4th quarter,1:03.0,LeBron James,MIA,True,2-pointer,17,102-91,'MIA',leads,2013-10-29,2013-14
18174,1312,1312,1312,201310300PHI,7.6,2.8,1st quarter,11:09.0,LeBron James,MIA,False,2-pointer,16,0-2,'MIA',trails,2013-10-30,2013-14
18175,1319,1319,1319,201310300PHI,14.8,4.4,1st quarter,7:08.0,LeBron James,MIA,True,2-pointer,9,2-19,'MIA',trails,2013-10-30,2013-14
