,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status,match_date,season
19853,70,70,70,201410300CLE,35.4,17.8,1st quarter,11:20.0,LeBron James,CLE,False,2-pointer,18,2-2,'NYK',tied,2014-10-30,2014-15
19854,77,77,77,201410300CLE,23.3,3.0,1st quarter,6:30.0,LeBron James,CLE,True,2-pointer,0,14-8,'NYK',leads,2014-10-30,2014-15
19855,80,80,80,201410300CLE,13.5,9.3,1st quarter,4:45.0,LeBron James,CLE,False,2-pointer,12,16-10,'NYK',leads,2014-10-30,2014-15
19856,83,83,83,201410300CLE,46.7,1.4,1st quarter,2:31.0,LeBron James,CLE,False,3-pointer,22,21-12,'NYK',leads,2014-10-30,2014-15
19857,85,85,85,201410300CLE,33.1,27.6,1st quarter,1:51.0,LeBron James,CLE,False,3-pointer,26,21-14,'NYK',leads,2014-10-30,2014-15
19858,94,94,94,201410300CLE,31.0,8.8,2nd quarter,9:18.0,LeBron James,CLE,False,2-pointer,9,31-20,'NYK',leads,2014-10-30,2014-15
19859,99,99,99,201410300CLE,36.2,26.5,2nd quarter,3:16.0,LeBron James,CLE,False,3-pointer,26,38-35,'NYK',leads,2014-10-30,2014-15
19860,101,101,101,201410300CLE,23.2,3.0,2nd quarter,1:55.0,LeBron James,CLE,False,2-pointer,0,40-40,'NYK',tied,2014-10-30,2014-15
19861,102,102,102,201410300CLE,37.5,5.2,2nd quarter,1:16.0,LeBron James,CLE,False,2-pointer,13,40-40,'NYK',tied,2014-10-30,2014-15
19862,112,112,112,201410300CLE,26.6,27.9,3rd quarter,6:54.0,LeBron James,CLE,True,3-pointer,25,51-53,'NYK',trails,2014-10-30,2014-15
19863,116,116,116,201410300CLE,25.2,2.7,3rd quarter,3:50.0,LeBron James,CLE,True,2-pointer,1,57-61,'NYK',trails,2014-10-30,2014-15
19864,121,121,121,201410300CLE,13.7,7.2,3rd quarter,0:39.0,LeBron James,CLE,False,2-pointer,11,62-67,'NYK',trails,2014-10-30,2014-15
19865,127,127,127,201410300CLE,11.3,26.0,4th quarter,7:28.0,LeBron James,CLE,False,3-pointer,26,71-75,'NYK',trails,2014-10-30,2014-15
19866,131,131,131,201410300CLE,23.2,3.3,4th quarter,4:34.0,LeBron James,CLE,True,2-pointer,0,77-82,'NYK',trails,2014-10-30,2014-15
19867,136,136,136,201410300CLE,22.9,3.3,4th quarter,0:45.0,LeBron James,CLE,True,2-pointer,1,87-90,'NYK',trails,2014-10-30,2014-15
19868,2,2,2,201410310CHI,29.6,21.6,1st quarter,10:54.0,LeBron James,CLE,True,2-pointer,19,6-1,'CHI',leads,2014-10-31,2014-15
19869,8,8,8,201410310CHI,23.8,24.6,1st quarter,6:31.0,LeBron James,CLE,True,2-pointer,21,12-12,'CHI',tied,2014-10-31,2014-15
19870,9,9,9,201410310CHI,29.0,4.5,1st quarter,6:03.0,LeBron James,CLE,True,2-pointer,5,14-14,'CHI',tied,2014-10-31,2014-15
19871,12,12,12,201410310CHI,33.5,6.6,1st quarter,4:38.0,LeBron James,CLE,False,2-pointer,10,17-18,'CHI',trails,2014-10-31,2014-15
19872,14,14,14,201410310CHI,35.4,17.2,1st quarter,4:11.0,LeBron James,CLE,False,2-pointer,18,19-20,'CHI',trails,2014-10-31,2014-15
