,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status,match_date,season
1488,247,247,247,200411030CLE,32.7,20.5,1st quarter,9:13.0,LeBron James,CLE,False,2-pointer,18,2-6,'IND',trails,2004-11-03,2004-05
1489,254,254,254,200411030CLE,21.9,6.0,1st quarter,5:25.0,LeBron James,CLE,True,2-pointer,2,10-12,'IND',trails,2004-11-03,2004-05
1490,256,256,256,200411030CLE,8.6,3.2,1st quarter,4:14.0,LeBron James,CLE,True,2-pointer,16,12-16,'IND',trails,2004-11-03,2004-05
1491,257,257,257,200411030CLE,25.5,5.7,1st quarter,3:35.0,LeBron James,CLE,True,2-pointer,2,14-16,'IND',trails,2004-11-03,2004-05
1492,260,260,260,200411030CLE,36.6,15.2,1st quarter,0:30.9,LeBron James,CLE,False,2-pointer,16,19-26,'IND',trails,2004-11-03,2004-05
1493,275,275,275,200411030CLE,36.8,13.6,2nd quarter,2:32.0,LeBron James,CLE,False,2-pointer,15,38-39,'IND',trails,2004-11-03,2004-05
1494,276,276,276,200411030CLE,46.2,3.1,2nd quarter,2:03.0,LeBron James,CLE,False,3-pointer,22,38-41,'IND',trails,2004-11-03,2004-05
1495,289,289,289,200411030CLE,11.7,3.6,3rd quarter,5:59.0,LeBron James,CLE,False,2-pointer,12,55-55,'IND',tied,2004-11-03,2004-05
1496,299,299,299,200411030CLE,12.5,26.5,3rd quarter,0:04.8,LeBron James,CLE,True,3-pointer,24,67-63,'IND',leads,2004-11-03,2004-05
1497,301,301,301,200411030CLE,47.0,14.9,4th quarter,10:51.0,LeBron James,CLE,False,3-pointer,25,67-65,'IND',leads,2004-11-03,2004-05
1498,306,306,306,200411030CLE,24.0,5.7,4th quarter,6:30.0,LeBron James,CLE,True,2-pointer,1,73-70,'IND',leads,2004-11-03,2004-05
1499,307,307,307,200411030CLE,26.3,27.9,4th quarter,5:49.0,LeBron James,CLE,False,2-pointer,23,73-70,'IND',leads,2004-11-03,2004-05
1500,310,310,310,200411030CLE,34.2,24.4,4th quarter,3:00.0,LeBron James,CLE,False,2-pointer,22,75-76,'IND',trails,2004-11-03,2004-05
1501,315,315,315,200411030CLE,38.6,24.9,4th quarter,0:01.7,LeBron James,CLE,True,3-pointer,25,85-85,'IND',tied,2004-11-03,2004-05
1502,317,317,317,200411030CLE,37.5,4.1,1st overtime,4:15.0,LeBron James,CLE,False,2-pointer,14,85-87,'IND',trails,2004-11-03,2004-05
1503,324,324,324,200411030CLE,25.5,5.5,2nd overtime,4:15.0,LeBron James,CLE,True,2-pointer,2,96-94,'IND',leads,2004-11-03,2004-05
1504,326,326,326,200411030CLE,41.1,18.0,2nd overtime,2:18.0,LeBron James,CLE,True,2-pointer,21,100-98,'IND',leads,2004-11-03,2004-05
1505,327,327,327,200411030CLE,20.7,5.0,2nd overtime,1:18.0,LeBron James,CLE,False,2-pointer,3,102-102,'IND',tied,2004-11-03,2004-05
1506,329,329,329,200411030CLE,24.1,30.0,2nd overtime,0:05.9,LeBron James,CLE,False,3-pointer,25,104-107,'IND',trails,2004-11-03,2004-05
1507,345,345,345,200411040MIA,37.8,18.5,1st quarter,8:26.0,LeBron James,CLE,False,2-pointer,19,4-9,'MIA',trails,2004-11-04,2004-05
1508,354,354,354,200411040MIA,24.0,5.0,1st quarter,4:43.0,LeBron James,CLE,True,2-pointer,0,12-15,'MIA',trails,2004-11-04,2004-05
1509,355,355,355,200411040MIA,24.0,5.0,1st quarter,4:20.0,LeBron James,CLE,True,2-pointer,0,14-15,'MIA',trails,2004-11-04,2004-05
1510,358,358,358,200411040MIA,24.0,5.0,1st quarter,2:22.0,LeBron James,CLE,True,2-pointer,0,18-21,'MIA',trails,2004-11-04,2004-05
1511,359,359,359,200411040MIA,46.0,4.4,1st quarter,1:27.0,LeBron James,CLE,True,2-pointer,22,21-23,'MIA',trails,2004-11-04,2004-05
1512,370,370,370,200411040MIA,7.4,25.6,2nd quarter,6:44.0,LeBron James,CLE,True,3-pointer,26,33-37,'MIA',trails,2004-11-04,2004-05
1513,378,378,378,200411040MIA,30.4,16.2,2nd quarter,2:23.0,LeBron James,CLE,False,2-pointer,13,43-46,'MIA',trails,2004-11-04,2004-05
1514,381,381,381,200411040MIA,43.9,4.5,2nd quarter,0:03.6,LeBron James,CLE,False,2-pointer,20,49-52,'MIA',trails,2004-11-04,2004-05
