,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status,match_date,season
14709,0,0,0,201112250DAL,24.1,4.4,1st quarter,11:34.0,LeBron James,MIA,True,2-pointer,1,2-0,'MIA',leads,2011-12-25,2011-12
14710,6,6,6,201112250DAL,24.0,4.4,1st quarter,8:05.0,LeBron James,MIA,True,2-pointer,1,9-3,'MIA',leads,2011-12-25,2011-12
14711,10,10,10,201112250DAL,14.7,8.3,1st quarter,4:53.0,LeBron James,MIA,True,2-pointer,10,15-11,'MIA',leads,2011-12-25,2011-12
14712,13,13,13,201112250DAL,40.0,19.8,1st quarter,3:21.0,LeBron James,MIA,False,2-pointer,22,20-11,'MIA',leads,2011-12-25,2011-12
14713,19,19,19,201112250DAL,24.0,4.8,1st quarter,1:27.0,LeBron James,MIA,False,2-pointer,0,26-15,'MIA',leads,2011-12-25,2011-12
14714,23,23,23,201112250DAL,27.6,5.4,1st quarter,0:01.8,LeBron James,MIA,False,2-pointer,4,32-17,'MIA',leads,2011-12-25,2011-12
14715,36,36,36,201112250DAL,13.7,6.7,2nd quarter,3:28.0,LeBron James,MIA,False,2-pointer,10,53-28,'MIA',leads,2011-12-25,2011-12
14716,38,38,38,201112250DAL,12.0,9.2,2nd quarter,2:39.0,LeBron James,MIA,True,2-pointer,13,55-31,'MIA',leads,2011-12-25,2011-12
14717,43,43,43,201112250DAL,7.9,13.3,3rd quarter,12:00.0,LeBron James,MIA,True,2-pointer,18,64-41,'MIA',leads,2011-12-25,2011-12
14718,48,48,48,201112250DAL,42.7,8.1,3rd quarter,9:08.0,LeBron James,MIA,True,2-pointer,19,73-43,'MIA',leads,2011-12-25,2011-12
14719,49,49,49,201112250DAL,41.1,8.4,3rd quarter,8:44.0,LeBron James,MIA,True,2-pointer,17,76-43,'MIA',leads,2011-12-25,2011-12
14720,54,54,54,201112250DAL,3.6,10.3,3rd quarter,5:18.0,LeBron James,MIA,False,2-pointer,21,82-54,'MIA',leads,2011-12-25,2011-12
14721,56,56,56,201112250DAL,40.5,9.4,3rd quarter,4:46.0,LeBron James,MIA,True,2-pointer,17,85-54,'MIA',leads,2011-12-25,2011-12
14722,58,58,58,201112250DAL,20.8,5.6,3rd quarter,2:21.0,LeBron James,MIA,True,2-pointer,3,91-58,'MIA',leads,2011-12-25,2011-12
14723,59,59,59,201112250DAL,6.0,5.4,3rd quarter,1:57.0,LeBron James,MIA,False,2-pointer,18,91-60,'MIA',leads,2011-12-25,2011-12
14724,62,62,62,201112250DAL,28.2,24.8,3rd quarter,0:04.7,LeBron James,MIA,True,2-pointer,20,97-65,'MIA',leads,2011-12-25,2011-12
14725,64,64,64,201112250DAL,8.7,12.5,4th quarter,11:13.0,LeBron James,MIA,False,2-pointer,17,97-65,'MIA',leads,2011-12-25,2011-12
14726,68,68,68,201112250DAL,28.5,6.9,4th quarter,7:16.0,LeBron James,MIA,True,2-pointer,5,101-78,'MIA',leads,2011-12-25,2011-12
14727,70,70,70,201112250DAL,15.3,19.9,4th quarter,4:41.0,LeBron James,MIA,False,2-pointer,17,105-85,'MIA',leads,2011-12-25,2011-12
14728,236,236,236,201112270MIA,4.2,6.7,1st quarter,9:04.0,LeBron James,MIA,True,2-pointer,20,9-4,'MIA',leads,2011-12-27,2011-12
14729,238,238,238,201112270MIA,23.1,6.1,1st quarter,7:44.0,LeBron James,MIA,True,2-pointer,1,14-9,'MIA',leads,2011-12-27,2011-12
