,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,202009070DEN,27.0,12.3,1st quarter,11:41.0,Marcus Morris,LAC,True,2-pointer,10,2-0,'DEN',leads
1,1,1,202009070DEN,31.5,14.4,1st quarter,11:05.0,Paul George,LAC,False,2-pointer,13,2-2,'DEN',tied
2,2,2,202009070DEN,40.3,22.3,1st quarter,10:42.0,Patrick Beverley,LAC,True,3-pointer,25,5-4,'DEN',leads
3,3,3,202009070DEN,24.5,24.4,1st quarter,9:52.0,Paul George,LAC,True,2-pointer,21,7-7,'DEN',tied
4,4,4,202009070DEN,29.6,14.2,1st quarter,9:04.0,Paul George,LAC,False,2-pointer,12,7-7,'DEN',tied
5,5,5,202009070DEN,1.3,4.8,1st quarter,8:16.0,Marcus Morris,LAC,False,3-pointer,23,7-10,'DEN',trails
6,6,6,202009070DEN,25.4,4.3,1st quarter,7:58.0,Patrick Beverley,LAC,True,2-pointer,2,9-10,'DEN',trails
7,7,7,202009070DEN,45.5,17.0,1st quarter,7:28.0,JaMychal Green,LAC,True,3-pointer,26,12-12,'DEN',tied
8,8,8,202009070DEN,33.3,4.2,1st quarter,6:47.0,Kawhi Leonard,LAC,True,2-pointer,9,14-14,'DEN',tied
9,9,9,202009070DEN,20.7,21.5,1st quarter,6:21.0,Marcus Morris,LAC,True,2-pointer,19,16-16,'DEN',tied
10,10,10,202009070DEN,16.9,15.8,1st quarter,5:31.0,Paul George,LAC,True,2-pointer,14,18-19,'DEN',trails
11,11,11,202009070DEN,21.0,28.0,1st quarter,5:04.0,Paul George,LAC,False,3-pointer,25,18-19,'DEN',trails
12,12,12,202009070DEN,1.0,3.1,1st quarter,4:40.0,Paul George,LAC,True,3-pointer,23,21-19,'DEN',leads
13,13,13,202009070DEN,31.8,11.7,1st quarter,4:18.0,Kawhi Leonard,LAC,True,2-pointer,11,23-21,'DEN',leads
14,14,14,202009070DEN,47.1,1.1,1st quarter,3:31.0,Paul George,LAC,True,3-pointer,23,26-23,'DEN',leads
15,15,15,202009070DEN,36.2,1.4,1st quarter,2:33.0,Kawhi Leonard,LAC,True,2-pointer,12,30-26,'DEN',leads
