,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,200904070CHA,38.0,26.6,1st quarter,11:45.0,Andre Iguodala,PHI,True,3-pointer,26,3-0,'CHA',leads
1,1,1,200904070CHA,44.6,19.6,1st quarter,11:06.0,Andre Iguodala,PHI,False,3-pointer,25,3-2,'CHA',leads
2,2,2,200904070CHA,34.3,6.9,1st quarter,10:46.0,Samuel Dalembert,PHI,True,2-pointer,10,5-2,'CHA',leads
3,3,3,200904070CHA,24.0,5.0,1st quarter,10:10.0,Andre Iguodala,PHI,False,2-pointer,0,5-2,'CHA',leads
4,4,4,200904070CHA,29.1,16.8,1st quarter,9:55.0,Samuel Dalembert,PHI,False,2-pointer,13,5-2,'CHA',leads
5,5,5,200904070CHA,44.1,21.0,1st quarter,9:46.0,Willie Green,PHI,False,3-pointer,26,5-2,'CHA',leads
6,6,6,200904070CHA,26.8,11.6,1st quarter,9:07.0,Willie Green,PHI,False,2-pointer,7,5-2,'CHA',leads
7,7,7,200904070CHA,3.3,8.7,1st quarter,8:44.0,Willie Green,PHI,False,2-pointer,21,5-4,'CHA',leads
8,8,8,200904070CHA,34.3,6.7,1st quarter,8:40.0,Samuel Dalembert,PHI,False,2-pointer,10,5-4,'CHA',leads
9,9,9,200904070CHA,14.7,21.5,1st quarter,7:29.0,Andre Iguodala,PHI,True,2-pointer,19,7-6,'CHA',leads
10,10,10,200904070CHA,24.0,5.0,1st quarter,6:44.0,Willie Green,PHI,False,2-pointer,0,7-8,'CHA',trails
11,11,11,200904070CHA,24.0,5.0,1st quarter,6:09.0,Willie Green,PHI,True,2-pointer,0,9-10,'CHA',trails
12,12,12,200904070CHA,0.9,8.4,1st quarter,5:13.0,Andre Iguodala,PHI,False,3-pointer,23,11-10,'CHA',leads
13,13,13,200904070CHA,36.2,17.6,1st quarter,4:29.0,Andre Miller,PHI,False,2-pointer,18,11-14,'CHA',trails
14,14,14,200904070CHA,24.0,5.0,1st quarter,4:12.0,Reggie Evans,PHI,False,2-pointer,0,11-16,'CHA',trails
15,15,15,200904070CHA,33.2,23.1,1st quarter,4:06.0,Andre Iguodala,PHI,False,2-pointer,20,11-16,'CHA',trails
16,16,16,200904070CHA,37.3,10.3,1st quarter,3:34.0,Andre Miller,PHI,False,2-pointer,14,11-16,'CHA',trails
17,17,17,200904070CHA,24.0,5.0,1st quarter,3:24.0,Andre Miller,PHI,True,2-pointer,0,13-16,'CHA',trails
18,18,18,200904070CHA,24.0,5.0,1st quarter,2:21.0,Andre Miller,PHI,False,2-pointer,0,15-20,'CHA',trails
19,19,19,200904070CHA,29.0,22.8,1st quarter,2:03.0,Lou Williams,PHI,False,2-pointer,18,15-20,'CHA',trails
20,20,20,200904070CHA,34.5,7.3,1st quarter,1:26.0,Andre Miller,PHI,True,2-pointer,11,17-22,'CHA',trails
21,21,21,200904070CHA,24.0,5.0,1st quarter,0:44.9,Reggie Evans,PHI,False,2-pointer,0,17-24,'CHA',trails
22,22,22,200904070CHA,24.0,5.0,1st quarter,0:30.1,Lou Williams,PHI,True,2-pointer,0,19-26,'CHA',trails
23,23,23,200904070CHA,1.6,9.8,1st quarter,0:00.0,Reggie Evans,PHI,False,3-pointer,23,19-28,'CHA',trails
24,24,24,200904070CHA,24.0,5.0,2nd quarter,11:25.0,Lou Williams,PHI,True,2-pointer,0,21-31,'CHA',trails
25,25,25,200904070CHA,0.8,7.3,2nd quarter,10:53.0,Royal Ivey,PHI,False,3-pointer,23,21-33,'CHA',trails
26,26,26,200904070CHA,24.0,5.0,2nd quarter,10:34.0,Theo Ratliff,PHI,False,2-pointer,0,21-34,'CHA',trails
27,27,27,200904070CHA,24.7,12.1,2nd quarter,9:55.0,Theo Ratliff,PHI,False,2-pointer,7,21-37,'CHA',trails
28,28,28,200904070CHA,33.5,7.3,2nd quarter,9:47.0,Theo Ratliff,PHI,False,2-pointer,10,21-37,'CHA',trails
29,29,29,200904070CHA,47.1,7.0,2nd quarter,8:50.0,Donyell Marshall,PHI,True,3-pointer,23,24-40,'CHA',trails
30,30,30,200904070CHA,27.4,11.0,2nd quarter,8:12.0,Lou Williams,PHI,False,2-pointer,7,24-42,'CHA',trails
31,31,31,200904070CHA,24.0,5.0,2nd quarter,8:03.0,Lou Williams,PHI,False,2-pointer,0,24-42,'CHA',trails
32,32,32,200904070CHA,37.2,17.1,2nd quarter,6:15.0,Andre Miller,PHI,True,2-pointer,18,30-47,'CHA',trails
33,33,33,200904070CHA,24.0,5.0,2nd quarter,6:07.0,Lou Williams,PHI,True,2-pointer,0,32-47,'CHA',trails
34,34,34,200904070CHA,24.0,5.0,2nd quarter,5:40.0,Lou Williams,PHI,False,2-pointer,0,32-49,'CHA',trails
35,35,35,200904070CHA,24.0,5.0,2nd quarter,5:30.0,Andre Miller,PHI,True,2-pointer,0,34-49,'CHA',trails
36,36,36,200904070CHA,24.0,5.0,2nd quarter,4:42.0,Lou Williams,PHI,True,2-pointer,0,38-51,'CHA',trails
37,37,37,200904070CHA,0.9,6.9,2nd quarter,3:35.0,Lou Williams,PHI,True,3-pointer,23,41-54,'CHA',trails
38,38,38,200904070CHA,0.9,8.9,2nd quarter,3:09.0,Donyell Marshall,PHI,False,3-pointer,23,41-54,'CHA',trails
39,39,39,200904070CHA,24.0,5.0,2nd quarter,2:43.0,Lou Williams,PHI,True,2-pointer,0,43-54,'CHA',trails
40,40,40,200904070CHA,47.0,7.6,2nd quarter,1:15.0,Donyell Marshall,PHI,False,3-pointer,23,45-58,'CHA',trails
41,41,41,200904070CHA,24.0,5.0,2nd quarter,0:48.1,Andre Iguodala,PHI,True,2-pointer,0,49-58,'CHA',trails
42,42,42,200904070CHA,35.1,23.7,2nd quarter,0:25.9,Andre Miller,PHI,False,2-pointer,22,49-61,'CHA',trails
43,43,43,200904070CHA,28.3,21.4,2nd quarter,0:00.3,Andre Iguodala,PHI,False,2-pointer,17,49-63,'CHA',trails
44,44,44,200904070CHA,28.3,20.9,3rd quarter,11:13.0,Willie Green,PHI,True,2-pointer,16,51-65,'CHA',trails
45,45,45,200904070CHA,47.0,11.7,3rd quarter,10:44.0,Willie Green,PHI,True,3-pointer,24,54-65,'CHA',trails
46,46,46,200904070CHA,24.0,5.0,3rd quarter,10:04.0,Samuel Dalembert,PHI,False,2-pointer,0,54-65,'CHA',trails
47,47,47,200904070CHA,12.4,6.1,3rd quarter,9:21.0,Andre Miller,PHI,True,2-pointer,12,56-65,'CHA',trails
48,48,48,200904070CHA,24.0,5.0,3rd quarter,8:31.0,Willie Green,PHI,False,2-pointer,0,57-69,'CHA',trails
49,49,49,200904070CHA,24.0,5.0,3rd quarter,8:30.0,Samuel Dalembert,PHI,True,2-pointer,0,59-69,'CHA',trails
50,50,50,200904070CHA,38.9,13.0,3rd quarter,8:00.0,Andre Iguodala,PHI,False,2-pointer,17,59-69,'CHA',trails
51,51,51,200904070CHA,40.5,9.1,3rd quarter,7:31.0,Andre Miller,PHI,True,2-pointer,17,61-69,'CHA',trails
52,52,52,200904070CHA,24.0,5.0,3rd quarter,7:02.0,Andre Iguodala,PHI,True,2-pointer,0,63-69,'CHA',trails
53,53,53,200904070CHA,0.1,7.2,3rd quarter,6:31.0,Andre Iguodala,PHI,False,3-pointer,24,64-69,'CHA',trails
54,54,54,200904070CHA,24.0,5.0,3rd quarter,6:27.0,Andre Iguodala,PHI,True,2-pointer,0,66-69,'CHA',trails
55,55,55,200904070CHA,47.3,9.7,3rd quarter,5:43.0,Willie Green,PHI,True,3-pointer,24,69-71,'CHA',trails
56,56,56,200904070CHA,38.6,25.3,3rd quarter,4:48.0,Andre Iguodala,PHI,True,3-pointer,25,72-73,'CHA',trails
57,57,57,200904070CHA,24.0,5.0,3rd quarter,4:02.0,Andre Miller,PHI,True,2-pointer,0,74-75,'CHA',trails
58,58,58,200904070CHA,24.0,5.0,3rd quarter,3:06.0,Willie Green,PHI,False,2-pointer,0,74-75,'CHA',trails
59,59,59,200904070CHA,17.0,9.1,3rd quarter,2:23.0,Marreese Speights,PHI,False,2-pointer,8,74-75,'CHA',trails
