,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,201903030BOS,28.1,14.6,1st quarter,11:21.0,Chris Paul,HOU,False,2-pointer,12,0-2,'HOU',trails
1,1,1,201903030BOS,26.6,5.5,1st quarter,10:58.0,James Harden,HOU,True,2-pointer,3,2-2,'HOU',tied
2,2,2,201903030BOS,47.0,5.2,1st quarter,10:27.0,Eric Gordon,HOU,True,3-pointer,23,5-4,'HOU',leads
3,3,3,201903030BOS,4.2,20.6,1st quarter,9:49.0,Chris Paul,HOU,False,3-pointer,26,5-6,'HOU',trails
4,4,4,201903030BOS,22.3,4.8,1st quarter,9:29.0,James Harden,HOU,True,2-pointer,2,7-6,'HOU',leads
5,5,5,201903030BOS,24.8,4.2,1st quarter,9:07.0,Eric Gordon,HOU,True,2-pointer,1,9-6,'HOU',leads
6,6,6,201903030BOS,46.8,5.9,1st quarter,8:37.0,Eric Gordon,HOU,False,3-pointer,23,9-6,'HOU',leads
7,7,7,201903030BOS,24.9,4.1,1st quarter,7:54.0,Clint Capela,HOU,True,2-pointer,1,12-6,'HOU',leads
8,8,8,201903030BOS,5.7,21.3,1st quarter,7:39.0,James Harden,HOU,True,3-pointer,26,15-6,'HOU',leads
9,9,9,201903030BOS,25.8,5.0,1st quarter,6:59.0,Clint Capela,HOU,True,2-pointer,2,17-8,'HOU',leads
10,10,10,201903030BOS,23.3,7.3,1st quarter,6:22.0,James Harden,HOU,False,2-pointer,4,17-10,'HOU',leads
11,11,11,201903030BOS,38.4,27.5,1st quarter,6:02.0,Eric Gordon,HOU,True,3-pointer,28,20-12,'HOU',leads
12,12,12,201903030BOS,7.6,24.6,1st quarter,5:33.0,Chris Paul,HOU,False,3-pointer,27,20-12,'HOU',leads
13,13,13,201903030BOS,24.9,5.0,1st quarter,5:10.0,Eric Gordon,HOU,True,2-pointer,2,22-14,'HOU',leads
14,14,14,201903030BOS,1.2,9.5,1st quarter,4:36.0,James Harden,HOU,False,3-pointer,24,22-14,'HOU',leads
15,15,15,201903030BOS,27.8,29.0,1st quarter,4:32.0,Gerald Green,HOU,False,3-pointer,26,22-14,'HOU',leads
16,16,16,201903030BOS,21.7,5.2,1st quarter,4:19.0,James Harden,HOU,True,2-pointer,3,24-14,'HOU',leads
