,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,200204040ATL,15.4,11.6,1st quarter,11:49.0,Jermaine O'Neal,IND,False,2-pointer,11,0-0,'IND',tied
1,1,1,200204040ATL,5.7,21.5,1st quarter,11:24.0,Jamaal Tinsley,IND,False,3-pointer,25,0-3,'IND',trails
2,2,2,200204040ATL,24.0,5.0,1st quarter,11:04.0,Brad Miller,IND,True,2-pointer,0,2-3,'IND',trails
3,3,3,200204040ATL,13.1,13.9,1st quarter,9:38.0,Metta World,IND,False,2-pointer,14,2-9,'IND',trails
4,4,4,200204040ATL,35.0,23.4,1st quarter,9:09.0,Reggie Miller,IND,False,2-pointer,21,2-11,'IND',trails
5,5,5,200204040ATL,7.8,11.6,1st quarter,8:29.0,Reggie Miller,IND,False,2-pointer,17,2-11,'IND',trails
6,6,6,200204040ATL,7.4,5.4,1st quarter,8:09.0,Jonathan Bender,IND,False,2-pointer,17,2-13,'IND',trails
7,7,7,200204040ATL,8.9,10.3,1st quarter,6:27.0,Reggie Miller,IND,True,2-pointer,16,6-17,'IND',trails
8,8,8,200204040ATL,21.3,9.2,1st quarter,6:12.0,Jermaine O'Neal,IND,True,2-pointer,5,8-17,'IND',trails
9,9,9,200204040ATL,24.0,5.0,1st quarter,5:47.0,Brad Miller,IND,True,2-pointer,0,10-17,'IND',trails
10,10,10,200204040ATL,10.4,26.3,1st quarter,5:20.0,Jonathan Bender,IND,False,3-pointer,25,10-17,'IND',trails
11,11,11,200204040ATL,18.4,29.5,1st quarter,5:15.0,Reggie Miller,IND,False,3-pointer,25,10-17,'IND',trails
12,12,12,200204040ATL,29.8,7.6,1st quarter,5:11.0,Jonathan Bender,IND,False,2-pointer,6,10-17,'IND',trails
13,13,13,200204040ATL,6.8,5.9,1st quarter,4:39.0,Reggie Miller,IND,True,2-pointer,17,12-17,'IND',trails
14,14,14,200204040ATL,13.9,21.3,1st quarter,3:54.0,Brad Miller,IND,False,2-pointer,19,12-19,'IND',trails
15,15,15,200204040ATL,7.4,5.4,1st quarter,3:08.0,Jermaine O'Neal,IND,False,2-pointer,17,13-21,'IND',trails
16,16,16,200204040ATL,24.0,5.0,1st quarter,2:58.0,Reggie Miller,IND,True,2-pointer,0,15-21,'IND',trails
17,17,17,200204040ATL,17.5,5.0,1st quarter,2:15.0,Jermaine O'Neal,IND,False,2-pointer,7,15-24,'IND',trails
18,18,18,200204040ATL,6.8,24.6,1st quarter,1:11.0,Metta World,IND,True,3-pointer,26,19-24,'IND',trails
19,19,19,200204040ATL,22.8,11.3,1st quarter,0:35.7,Jermaine O'Neal,IND,False,2-pointer,6,19-24,'IND',trails
20,20,20,200204040ATL,4.5,21.3,2nd quarter,10:40.0,Metta World,IND,False,3-pointer,25,22-26,'IND',trails
21,21,21,200204040ATL,11.0,9.7,2nd quarter,10:08.0,Jeff Foster,IND,False,2-pointer,14,22-28,'IND',trails
22,22,22,200204040ATL,24.0,5.0,2nd quarter,9:58.0,Jamaal Tinsley,IND,False,2-pointer,0,22-28,'IND',trails
23,23,23,200204040ATL,20.7,6.5,2nd quarter,9:57.0,Metta World,IND,False,2-pointer,4,22-28,'IND',trails
24,24,24,200204040ATL,27.7,6.5,2nd quarter,9:24.0,Jonathan Bender,IND,False,2-pointer,4,22-28,'IND',trails
25,25,25,200204040ATL,9.5,15.1,2nd quarter,8:33.0,Jonathan Bender,IND,False,2-pointer,18,22-31,'IND',trails
26,26,26,200204040ATL,22.8,23.6,2nd quarter,8:06.0,Austin Croshere,IND,True,2-pointer,19,24-33,'IND',trails
27,27,27,200204040ATL,14.6,5.0,2nd quarter,7:36.0,Brad Miller,IND,True,2-pointer,9,26-33,'IND',trails
28,28,28,200204040ATL,24.0,5.0,2nd quarter,7:06.0,Brad Miller,IND,True,2-pointer,0,28-36,'IND',trails
29,29,29,200204040ATL,24.0,5.0,2nd quarter,6:12.0,Austin Croshere,IND,False,2-pointer,0,28-38,'IND',trails
30,30,30,200204040ATL,0.9,7.6,2nd quarter,5:57.0,Reggie Miller,IND,True,3-pointer,23,31-38,'IND',trails
31,31,31,200204040ATL,40.1,24.6,2nd quarter,5:16.0,Jamaal Tinsley,IND,False,3-pointer,25,31-38,'IND',trails
32,32,32,200204040ATL,38.6,5.0,2nd quarter,4:34.0,Brad Miller,IND,False,2-pointer,15,31-38,'IND',trails
33,33,33,200204040ATL,23.6,6.5,2nd quarter,3:28.0,Jamaal Tinsley,IND,False,2-pointer,2,31-42,'IND',trails
34,34,34,200204040ATL,24.0,5.0,2nd quarter,3:28.0,Brad Miller,IND,True,2-pointer,0,33-42,'IND',trails
35,35,35,200204040ATL,32.1,6.9,2nd quarter,2:55.0,Jermaine O'Neal,IND,True,2-pointer,8,36-42,'IND',trails
36,36,36,200204040ATL,24.0,5.0,2nd quarter,2:10.0,Brad Miller,IND,False,2-pointer,0,37-44,'IND',trails
37,37,37,200204040ATL,24.0,5.0,2nd quarter,2:08.0,Jermaine O'Neal,IND,False,2-pointer,0,37-44,'IND',trails
38,38,38,200204040ATL,24.0,5.0,2nd quarter,1:38.0,Brad Miller,IND,True,2-pointer,0,39-44,'IND',trails
39,39,39,200204040ATL,24.0,5.0,2nd quarter,1:12.0,Jamaal Tinsley,IND,True,2-pointer,0,41-44,'IND',trails
40,40,40,200204040ATL,40.1,24.6,2nd quarter,0:42.3,Reggie Miller,IND,False,3-pointer,25,41-47,'IND',trails
