,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,200805290LAL,24.0,5.0,1st quarter,11:03.0,Fabricio Oberto,SAS,True,2-pointer,0,3-2,'SAS',leads
1,1,1,200805290LAL,36.3,12.6,1st quarter,10:17.0,Tim Duncan,SAS,False,2-pointer,14,3-2,'SAS',leads
2,2,2,200805290LAL,30.4,22.1,1st quarter,9:55.0,Tony Parker,SAS,True,2-pointer,18,5-2,'SAS',leads
3,3,3,200805290LAL,36.8,9.9,1st quarter,9:26.0,Tony Parker,SAS,False,2-pointer,14,5-2,'SAS',leads
4,4,4,200805290LAL,24.0,5.0,1st quarter,8:16.0,Tim Duncan,SAS,True,2-pointer,0,7-4,'SAS',leads
5,5,5,200805290LAL,24.0,5.0,1st quarter,7:39.0,Tony Parker,SAS,True,2-pointer,0,9-6,'SAS',leads
6,6,6,200805290LAL,5.6,11.3,1st quarter,7:13.0,Michael Finley,SAS,True,2-pointer,19,11-8,'SAS',leads
7,7,7,200805290LAL,23.7,11.6,1st quarter,6:54.0,Tony Parker,SAS,False,2-pointer,7,11-8,'SAS',leads
8,8,8,200805290LAL,13.7,12.7,1st quarter,6:20.0,Tim Duncan,SAS,True,2-pointer,13,13-11,'SAS',leads
9,9,9,200805290LAL,23.4,21.4,1st quarter,5:52.0,Michael Finley,SAS,False,2-pointer,16,13-13,'SAS',tied
10,10,10,200805290LAL,34.8,28.8,1st quarter,5:44.0,Michael Finley,SAS,True,3-pointer,26,16-13,'SAS',leads
11,11,11,200805290LAL,24.0,5.0,1st quarter,4:59.0,Tim Duncan,SAS,True,2-pointer,0,18-13,'SAS',leads
12,12,12,200805290LAL,1.2,8.0,1st quarter,3:31.0,Michael Finley,SAS,True,3-pointer,23,21-15,'SAS',leads
13,13,13,200805290LAL,31.4,17.8,1st quarter,2:25.0,Tim Duncan,SAS,False,2-pointer,15,21-15,'SAS',leads
14,14,14,200805290LAL,24.0,5.0,1st quarter,2:01.0,Kurt Thomas,SAS,True,2-pointer,0,23-15,'SAS',leads
15,15,15,200805290LAL,28.6,31.3,1st quarter,1:22.0,Brent Barry,SAS,False,3-pointer,27,23-15,'SAS',leads
16,16,16,200805290LAL,24.0,5.0,1st quarter,1:19.0,Kurt Thomas,SAS,True,2-pointer,0,25-15,'SAS',leads
17,17,17,200805290LAL,32.5,28.8,1st quarter,0:31.5,Manu Ginóbili,SAS,True,3-pointer,25,28-15,'SAS',leads
18,18,18,200805290LAL,35.5,5.0,1st quarter,0:01.8,Tim Duncan,SAS,False,2-pointer,12,28-15,'SAS',leads
19,19,19,200805290LAL,19.4,21.4,2nd quarter,11:49.0,Kurt Thomas,SAS,False,2-pointer,17,28-15,'SAS',leads
20,20,20,200805290LAL,24.0,5.0,2nd quarter,11:38.0,Tim Duncan,SAS,False,2-pointer,0,28-15,'SAS',leads
21,21,21,200805290LAL,24.0,5.0,2nd quarter,11:01.0,Manu Ginóbili,SAS,True,2-pointer,0,30-15,'SAS',leads
22,22,22,200805290LAL,10.5,27.0,2nd quarter,10:18.0,Brent Barry,SAS,True,3-pointer,26,33-16,'SAS',leads
23,23,23,200805290LAL,44.0,5.0,2nd quarter,9:42.0,Tony Parker,SAS,False,2-pointer,20,33-16,'SAS',leads
24,24,24,200805290LAL,24.0,5.0,2nd quarter,8:53.0,Tony Parker,SAS,False,2-pointer,0,33-16,'SAS',leads
25,25,25,200805290LAL,41.1,7.2,2nd quarter,8:19.0,Michael Finley,SAS,False,2-pointer,17,33-18,'SAS',leads
