,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,201305130CHI,43.8,3.7,1st quarter,11:16.0,Chris Bosh,MIA,True,2-pointer,20,2-2,'MIA',tied
1,1,1,201305130CHI,23.8,21.5,1st quarter,10:42.0,Dwyane Wade,MIA,False,2-pointer,17,2-2,'MIA',tied
2,2,2,201305130CHI,6.1,4.5,1st quarter,10:25.0,Udonis Haslem,MIA,True,2-pointer,18,5-2,'MIA',leads
3,3,3,201305130CHI,35.1,8.1,1st quarter,9:46.0,LeBron James,MIA,False,2-pointer,12,5-2,'MIA',leads
4,4,4,201305130CHI,25.5,6.2,1st quarter,9:27.0,LeBron James,MIA,True,2-pointer,2,7-2,'MIA',leads
5,5,5,201305130CHI,25.8,11.7,1st quarter,8:44.0,Mario Chalmers,MIA,True,2-pointer,7,9-2,'MIA',leads
6,6,6,201305130CHI,36.2,21.2,1st quarter,7:52.0,Chris Bosh,MIA,False,2-pointer,20,9-2,'MIA',leads
7,7,7,201305130CHI,23.3,6.4,1st quarter,7:31.0,LeBron James,MIA,True,2-pointer,2,11-2,'MIA',leads
8,8,8,201305130CHI,24.1,26.9,1st quarter,6:19.0,Chris Bosh,MIA,True,2-pointer,22,13-4,'MIA',leads
9,9,9,201305130CHI,37.0,27.8,1st quarter,5:36.0,LeBron James,MIA,False,3-pointer,26,13-4,'MIA',leads
10,10,10,201305130CHI,6.0,4.2,1st quarter,4:55.0,Udonis Haslem,MIA,False,2-pointer,18,13-6,'MIA',leads
11,11,11,201305130CHI,21.3,26.4,1st quarter,4:30.0,Chris Bosh,MIA,True,2-pointer,22,15-6,'MIA',leads
12,12,12,201305130CHI,24.7,6.9,1st quarter,3:52.0,Chris Bosh,MIA,True,2-pointer,2,17-8,'MIA',leads
13,13,13,201305130CHI,12.4,9.7,1st quarter,3:11.0,Dwyane Wade,MIA,False,2-pointer,13,17-8,'MIA',leads
