,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,200711010MIA,29.4,19.1,1st quarter,11:36.0,Chauncey Billups,DET,True,2-pointer,15,2-1,'MIA',leads
1,1,1,200711010MIA,38.8,17.8,1st quarter,11:17.0,Chauncey Billups,DET,False,2-pointer,20,2-1,'MIA',leads
2,2,2,200711010MIA,24.0,5.0,1st quarter,11:05.0,Arron Afflalo,DET,False,2-pointer,0,2-1,'MIA',leads
3,3,3,200711010MIA,11.4,21.3,1st quarter,10:57.0,Antonio McDyess,DET,False,2-pointer,21,2-1,'MIA',leads
4,4,4,200711010MIA,32.0,6.3,1st quarter,10:24.0,Tayshaun Prince,DET,False,2-pointer,8,2-1,'MIA',leads
5,5,5,200711010MIA,14.5,21.3,1st quarter,9:55.0,Antonio McDyess,DET,True,2-pointer,19,4-3,'MIA',leads
6,6,6,200711010MIA,23.7,11.4,1st quarter,9:18.0,Tayshaun Prince,DET,False,2-pointer,6,4-5,'MIA',trails
7,7,7,200711010MIA,38.1,19.5,1st quarter,8:58.0,Tayshaun Prince,DET,False,2-pointer,20,4-7,'MIA',trails
8,8,8,200711010MIA,36.8,10.6,1st quarter,8:32.0,Rasheed Wallace,DET,False,2-pointer,14,4-7,'MIA',trails
9,9,9,200711010MIA,24.0,5.0,1st quarter,8:06.0,Tayshaun Prince,DET,True,2-pointer,0,6-10,'MIA',trails
10,10,10,200711010MIA,24.0,5.0,1st quarter,7:13.0,Chauncey Billups,DET,True,2-pointer,0,8-12,'MIA',trails
11,11,11,200711010MIA,24.0,5.0,1st quarter,6:24.0,Tayshaun Prince,DET,False,2-pointer,0,8-14,'MIA',trails
12,12,12,200711010MIA,24.0,5.0,1st quarter,5:34.0,Ronald Murray,DET,True,2-pointer,0,12-16,'MIA',trails
13,13,13,200711010MIA,35.2,22.1,1st quarter,4:49.0,Antonio McDyess,DET,False,2-pointer,20,12-16,'MIA',trails
14,14,14,200711010MIA,24.0,5.0,1st quarter,4:46.0,Tayshaun Prince,DET,True,2-pointer,0,14-16,'MIA',trails
15,15,15,200711010MIA,2.6,3.9,1st quarter,3:41.0,Tayshaun Prince,DET,True,2-pointer,21,17-16,'MIA',leads
