,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,200805280BOS,30.1,20.5,1st quarter,11:37.0,Chauncey Billups,DET,True,2-pointer,17,2-0,'DET',leads
1,1,1,200805280BOS,11.7,25.6,1st quarter,10:32.0,Chauncey Billups,DET,False,3-pointer,24,2-2,'DET',tied
2,2,2,200805280BOS,47.0,5.0,1st quarter,9:37.0,Rasheed Wallace,DET,True,3-pointer,23,5-3,'DET',leads
3,3,3,200805280BOS,3.6,7.2,1st quarter,9:10.0,Tayshaun Prince,DET,False,2-pointer,21,5-3,'DET',leads
4,4,4,200805280BOS,7.1,14.9,1st quarter,8:42.0,Antonio McDyess,DET,False,2-pointer,20,5-5,'DET',tied
5,5,5,200805280BOS,44.7,17.7,1st quarter,7:42.0,Chauncey Billups,DET,True,3-pointer,24,8-10,'DET',trails
6,6,6,200805280BOS,43.2,13.6,1st quarter,6:36.0,Richard Hamilton,DET,False,2-pointer,21,8-12,'DET',trails
7,7,7,200805280BOS,27.9,14.1,1st quarter,6:30.0,Richard Hamilton,DET,False,2-pointer,10,8-12,'DET',trails
8,8,8,200805280BOS,24.8,30.2,1st quarter,5:45.0,Rasheed Wallace,DET,True,3-pointer,25,11-14,'DET',trails
9,9,9,200805280BOS,3.8,3.9,1st quarter,5:19.0,Richard Hamilton,DET,False,2-pointer,20,11-15,'DET',trails
10,10,10,200805280BOS,11.2,5.0,1st quarter,4:40.0,Tayshaun Prince,DET,True,2-pointer,13,13-17,'DET',trails
11,11,11,200805280BOS,21.7,7.2,1st quarter,4:10.0,Tayshaun Prince,DET,False,2-pointer,3,13-17,'DET',trails
12,12,12,200805280BOS,12.0,26.7,1st quarter,3:50.0,Rasheed Wallace,DET,False,3-pointer,25,13-17,'DET',trails
13,13,13,200805280BOS,42.9,19.8,1st quarter,3:19.0,Rasheed Wallace,DET,True,3-pointer,24,16-17,'DET',trails
14,14,14,200805280BOS,21.2,17.3,1st quarter,2:27.0,Tayshaun Prince,DET,False,2-pointer,13,16-19,'DET',trails
15,15,15,200805280BOS,24.3,14.4,1st quarter,1:58.0,Chauncey Billups,DET,False,2-pointer,9,16-21,'DET',trails
16,16,16,200805280BOS,15.3,7.0,1st quarter,1:35.0,Jason Maxiell,DET,True,2-pointer,9,18-21,'DET',trails
17,17,17,200805280BOS,30.7,8.1,1st quarter,1:03.0,Chauncey Billups,DET,False,2-pointer,7,20-21,'DET',trails
18,18,18,200805280BOS,19.1,18.8,1st quarter,0:29.9,Rodney Stuckey,DET,True,2-pointer,15,23-23,'DET',tied
19,19,19,200805280BOS,21.4,12.1,2nd quarter,11:48.0,Rodney Stuckey,DET,False,2-pointer,8,23-23,'DET',tied
20,20,20,200805280BOS,37.1,19.1,2nd quarter,10:58.0,Richard Hamilton,DET,True,2-pointer,19,25-25,'DET',tied
