,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,201701020BRK,38.5,16.6,1st quarter,11:24.0,Shelvin Mack,UTA,False,2-pointer,20,0-0,'UTA',tied
1,1,1,201701020BRK,21.5,3.7,1st quarter,10:41.0,Rodney Hood,UTA,False,2-pointer,3,0-3,'UTA',trails
2,2,2,201701020BRK,24.2,4.6,1st quarter,10:39.0,Rudy Gobert,UTA,False,2-pointer,2,0-3,'UTA',trails
3,3,3,201701020BRK,24.0,3.1,1st quarter,10:18.0,Rudy Gobert,UTA,True,2-pointer,0,2-3,'UTA',trails
4,4,4,201701020BRK,33.1,3.8,1st quarter,9:53.0,Rodney Hood,UTA,True,2-pointer,9,4-3,'UTA',leads
5,5,5,201701020BRK,5.4,2.5,1st quarter,9:08.0,Derrick Favors,UTA,False,2-pointer,19,4-5,'UTA',trails
6,6,6,201701020BRK,15.2,20.4,1st quarter,8:33.0,Shelvin Mack,UTA,True,2-pointer,20,6-8,'UTA',trails
7,7,7,201701020BRK,41.4,3.2,1st quarter,8:11.0,Derrick Favors,UTA,False,2-pointer,17,6-8,'UTA',trails
8,8,8,201701020BRK,16.2,26.2,1st quarter,8:07.0,Rodney Hood,UTA,False,3-pointer,24,6-8,'UTA',trails
9,9,9,201701020BRK,9.0,24.0,1st quarter,7:15.0,Gordon Hayward,UTA,True,3-pointer,26,9-10,'UTA',trails
10,10,10,201701020BRK,25.5,17.9,1st quarter,6:17.0,Gordon Hayward,UTA,True,2-pointer,15,13-12,'UTA',leads
11,11,11,201701020BRK,38.5,14.5,1st quarter,5:43.0,Gordon Hayward,UTA,True,2-pointer,19,15-14,'UTA',leads
12,12,12,201701020BRK,0.2,1.9,1st quarter,5:15.0,Joe Ingles,UTA,True,3-pointer,24,18-16,'UTA',leads
13,13,13,201701020BRK,27.8,26.7,1st quarter,4:51.0,Gordon Hayward,UTA,False,3-pointer,24,18-18,'UTA',tied
14,14,14,201701020BRK,14.8,10.2,1st quarter,4:10.0,Gordon Hayward,UTA,False,2-pointer,12,18-18,'UTA',tied
15,15,15,201701020BRK,22.1,1.9,1st quarter,3:52.0,Boris Diaw,UTA,True,2-pointer,2,20-18,'UTA',leads
16,16,16,201701020BRK,23.6,22.0,1st quarter,3:20.0,Boris Diaw,UTA,True,2-pointer,19,22-18,'UTA',leads
17,17,17,201701020BRK,37.0,16.1,1st quarter,2:00.0,Joe Ingles,UTA,False,2-pointer,18,22-20,'UTA',leads
18,18,18,201701020BRK,24.4,9.1,1st quarter,1:26.0,Rudy Gobert,UTA,False,2-pointer,6,22-22,'UTA',tied
19,19,19,201701020BRK,33.7,9.5,1st quarter,0:47.0,Joe Johnson,UTA,False,2-pointer,12,22-22,'UTA',tied
20,20,20,201701020BRK,47.3,2.4,1st quarter,0:16.0,Joe Ingles,UTA,False,3-pointer,23,22-25,'UTA',trails
21,21,21,201701020BRK,22.8,2.9,1st quarter,0:13.0,Boris Diaw,UTA,True,2-pointer,1,24-25,'UTA',trails
22,22,22,201701020BRK,37.2,26.7,1st quarter,0:01.0,Alec Burks,UTA,False,3-pointer,27,24-26,'UTA',trails
23,23,23,201701020BRK,21.3,9.1,2nd quarter,11:45.0,Joe Johnson,UTA,True,2-pointer,7,26-26,'UTA',tied
24,24,24,201701020BRK,22.8,2.5,2nd quarter,11:05.0,Derrick Favors,UTA,False,2-pointer,1,26-28,'UTA',trails
25,25,25,201701020BRK,26.4,14.0,2nd quarter,10:40.0,Joe Johnson,UTA,True,2-pointer,11,28-30,'UTA',trails
26,26,26,201701020BRK,8.7,7.3,2nd quarter,10:10.0,Trey Lyles,UTA,False,2-pointer,16,28-30,'UTA',trails
27,27,27,201701020BRK,18.7,7.3,2nd quarter,9:44.0,Rodney Hood,UTA,False,2-pointer,7,28-32,'UTA',trails
28,28,28,201701020BRK,24.0,3.1,2nd quarter,9:41.0,Derrick Favors,UTA,True,2-pointer,0,30-32,'UTA',trails
29,29,29,201701020BRK,15.2,3.0,2nd quarter,9:08.0,Derrick Favors,UTA,False,2-pointer,9,30-35,'UTA',trails
30,30,30,201701020BRK,22.9,10.7,2nd quarter,8:35.0,Shelvin Mack,UTA,False,2-pointer,8,30-37,'UTA',trails
31,31,31,201701020BRK,34.4,25.8,2nd quarter,7:16.0,Shelvin Mack,UTA,False,3-pointer,25,32-39,'UTA',trails
32,32,32,201701020BRK,26.2,2.5,2nd quarter,7:04.0,Shelvin Mack,UTA,True,2-pointer,2,34-39,'UTA',trails
33,33,33,201701020BRK,18.0,8.6,2nd quarter,6:30.0,Rodney Hood,UTA,False,2-pointer,8,34-39,'UTA',trails
34,34,34,201701020BRK,22.3,2.9,2nd quarter,6:27.0,Rudy Gobert,UTA,True,2-pointer,2,36-39,'UTA',trails
35,35,35,201701020BRK,22.0,3.2,2nd quarter,5:36.0,Rudy Gobert,UTA,True,2-pointer,2,40-41,'UTA',trails
36,36,36,201701020BRK,21.3,2.4,2nd quarter,5:06.0,Rodney Hood,UTA,False,2-pointer,3,40-41,'UTA',trails
37,37,37,201701020BRK,22.9,3.2,2nd quarter,5:04.0,Rodney Hood,UTA,False,2-pointer,1,40-41,'UTA',trails
38,38,38,201701020BRK,26.3,3.0,2nd quarter,4:38.0,Shelvin Mack,UTA,False,2-pointer,2,40-44,'UTA',trails
39,39,39,201701020BRK,24.3,4.0,2nd quarter,4:30.0,Rudy Gobert,UTA,False,2-pointer,1,40-44,'UTA',trails
40,40,40,201701020BRK,24.0,3.1,2nd quarter,4:27.0,Rudy Gobert,UTA,True,2-pointer,0,42-44,'UTA',trails
41,41,41,201701020BRK,24.4,4.6,2nd quarter,4:11.0,Gordon Hayward,UTA,False,2-pointer,2,42-44,'UTA',trails
42,42,42,201701020BRK,37.0,26.2,2nd quarter,4:01.0,Rodney Hood,UTA,True,3-pointer,27,45-44,'UTA',leads
43,43,43,201701020BRK,1.2,0.4,2nd quarter,3:17.0,Trey Lyles,UTA,False,3-pointer,23,45-46,'UTA',trails
44,44,44,201701020BRK,28.6,13.6,2nd quarter,2:49.0,Rodney Hood,UTA,False,2-pointer,12,45-46,'UTA',trails
45,45,45,201701020BRK,35.0,16.9,2nd quarter,2:19.0,Gordon Hayward,UTA,True,2-pointer,18,47-48,'UTA',trails
46,46,46,201701020BRK,8.7,16.4,2nd quarter,1:53.0,Gordon Hayward,UTA,False,2-pointer,20,47-50,'UTA',trails
47,47,47,201701020BRK,29.1,20.0,2nd quarter,1:41.0,Gordon Hayward,UTA,False,2-pointer,18,47-50,'UTA',trails
48,48,48,201701020BRK,30.4,27.2,2nd quarter,1:08.0,Shelvin Mack,UTA,True,3-pointer,25,50-50,'UTA',tied
49,49,49,201701020BRK,10.0,23.8,2nd quarter,0:35.0,Shelvin Mack,UTA,False,3-pointer,25,50-52,'UTA',trails
50,50,50,201701020BRK,25.2,12.7,2nd quarter,0:03.0,Gordon Hayward,UTA,False,2-pointer,10,50-52,'UTA',trails
51,51,51,201701020BRK,29.6,23.0,3rd quarter,10:43.0,Boris Diaw,UTA,False,2-pointer,21,51-52,'UTA',trails
