,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,200602160CHI,30.2,9.0,1st quarter,10:27.0,Samuel Dalembert,PHI,False,2-pointer,7,4-5,'CHI',trails
1,1,1,200602160CHI,11.8,14.9,1st quarter,10:02.0,Chris Webber,PHI,False,2-pointer,16,4-7,'CHI',trails
2,2,2,200602160CHI,7.6,11.1,1st quarter,9:42.0,Allen Iverson,PHI,False,2-pointer,18,4-9,'CHI',trails
3,3,3,200602160CHI,10.7,11.1,1st quarter,9:07.0,Chris Webber,PHI,False,2-pointer,15,4-11,'CHI',trails
4,4,4,200602160CHI,12.8,16.7,1st quarter,8:47.0,Allen Iverson,PHI,True,2-pointer,16,6-11,'CHI',trails
5,5,5,200602160CHI,5.3,7.6,1st quarter,7:30.0,Allen Iverson,PHI,True,2-pointer,19,10-15,'CHI',trails
6,6,6,200602160CHI,14.8,20.5,1st quarter,7:04.0,Allen Iverson,PHI,False,2-pointer,18,10-15,'CHI',trails
7,7,7,200602160CHI,24.0,5.0,1st quarter,6:06.0,Chris Webber,PHI,False,2-pointer,0,12-19,'CHI',trails
8,8,8,200602160CHI,44.4,4.1,1st quarter,5:27.0,Allen Iverson,PHI,False,2-pointer,20,12-21,'CHI',trails
9,9,9,200602160CHI,24.0,5.0,1st quarter,5:09.0,Samuel Dalembert,PHI,True,2-pointer,0,14-21,'CHI',trails
10,10,10,200602160CHI,12.5,6.5,1st quarter,4:35.0,Chris Webber,PHI,False,2-pointer,12,14-23,'CHI',trails
11,11,11,200602160CHI,24.0,5.0,1st quarter,3:02.0,Andre Iguodala,PHI,True,2-pointer,0,16-29,'CHI',trails
12,12,12,200602160CHI,9.1,4.7,1st quarter,2:16.0,Allen Iverson,PHI,True,2-pointer,15,18-31,'CHI',trails
13,13,13,200602160CHI,36.6,10.8,1st quarter,1:16.0,Andre Iguodala,PHI,False,2-pointer,14,20-33,'CHI',trails
14,14,14,200602160CHI,42.1,13.7,2nd quarter,11:41.0,John Salmons,PHI,False,2-pointer,20,22-38,'CHI',trails
15,15,15,200602160CHI,24.0,5.0,2nd quarter,10:55.0,Kevin Ollie,PHI,False,2-pointer,0,22-38,'CHI',trails
16,16,16,200602160CHI,13.8,26.7,2nd quarter,9:55.0,Kyle Korver,PHI,False,3-pointer,24,22-43,'CHI',trails
17,17,17,200602160CHI,38.8,22.6,2nd quarter,9:23.0,John Salmons,PHI,True,2-pointer,23,24-43,'CHI',trails
18,18,18,200602160CHI,15.0,7.2,2nd quarter,8:51.0,Matt Barnes,PHI,False,2-pointer,9,24-43,'CHI',trails
19,19,19,200602160CHI,34.5,28.3,2nd quarter,8:45.0,John Salmons,PHI,False,3-pointer,26,24-43,'CHI',trails
20,20,20,200602160CHI,22.4,12.1,2nd quarter,8:12.0,John Salmons,PHI,True,2-pointer,7,26-46,'CHI',trails
21,21,21,200602160CHI,24.0,5.0,2nd quarter,8:00.0,Allen Iverson,PHI,False,2-pointer,0,26-46,'CHI',trails
22,22,22,200602160CHI,24.0,5.0,2nd quarter,7:58.0,Steven Hunter,PHI,False,2-pointer,0,26-46,'CHI',trails
23,23,23,200602160CHI,24.0,5.0,2nd quarter,7:26.0,Steven Hunter,PHI,False,2-pointer,0,26-46,'CHI',trails
24,24,24,200602160CHI,24.0,5.0,2nd quarter,7:02.0,Chris Webber,PHI,True,2-pointer,0,28-48,'CHI',trails
25,25,25,200602160CHI,44.5,5.5,2nd quarter,6:06.0,Allen Iverson,PHI,False,2-pointer,21,31-50,'CHI',trails
26,26,26,200602160CHI,9.9,14.2,2nd quarter,5:25.0,Chris Webber,PHI,False,2-pointer,17,31-53,'CHI',trails
27,27,27,200602160CHI,38.4,7.5,2nd quarter,5:15.0,John Salmons,PHI,True,2-pointer,15,33-53,'CHI',trails
28,28,28,200602160CHI,30.7,8.8,2nd quarter,4:36.0,Allen Iverson,PHI,True,2-pointer,8,35-53,'CHI',trails
29,29,29,200602160CHI,24.0,5.0,2nd quarter,4:04.0,Samuel Dalembert,PHI,False,2-pointer,0,35-53,'CHI',trails
30,30,30,200602160CHI,7.2,26.0,2nd quarter,3:44.0,Allen Iverson,PHI,False,3-pointer,27,35-53,'CHI',trails
31,31,31,200602160CHI,24.0,5.0,2nd quarter,3:17.0,Matt Barnes,PHI,True,2-pointer,0,37-55,'CHI',trails
32,32,32,200602160CHI,23.8,17.2,2nd quarter,2:48.0,Chris Webber,PHI,False,2-pointer,12,37-55,'CHI',trails
33,33,33,200602160CHI,27.8,24.9,2nd quarter,2:07.0,Samuel Dalembert,PHI,False,2-pointer,20,38-55,'CHI',trails
34,34,34,200602160CHI,14.8,17.5,2nd quarter,1:52.0,Chris Webber,PHI,True,2-pointer,16,40-55,'CHI',trails
35,35,35,200602160CHI,14.3,8.5,2nd quarter,0:47.9,Allen Iverson,PHI,True,2-pointer,10,43-55,'CHI',trails
36,36,36,200602160CHI,9.4,11.8,2nd quarter,0:00.0,Chris Webber,PHI,False,2-pointer,16,46-57,'CHI',trails
37,37,37,200602160CHI,24.0,5.0,3rd quarter,11:42.0,Andre Iguodala,PHI,False,2-pointer,0,46-57,'CHI',trails
38,38,38,200602160CHI,8.2,5.5,3rd quarter,11:36.0,Allen Iverson,PHI,True,2-pointer,16,48-57,'CHI',trails
39,39,39,200602160CHI,6.1,8.0,3rd quarter,11:00.0,Allen Iverson,PHI,False,2-pointer,18,48-59,'CHI',trails
40,40,40,200602160CHI,13.2,20.8,3rd quarter,10:48.0,Chris Webber,PHI,True,2-pointer,19,50-59,'CHI',trails
41,41,41,200602160CHI,47.5,5.2,3rd quarter,10:12.0,Andre Iguodala,PHI,False,3-pointer,24,50-61,'CHI',trails
42,42,42,200602160CHI,24.0,5.0,3rd quarter,9:38.0,Kevin Ollie,PHI,False,2-pointer,0,50-64,'CHI',trails
43,43,43,200602160CHI,11.5,15.0,3rd quarter,9:17.0,Allen Iverson,PHI,False,2-pointer,16,50-66,'CHI',trails
44,44,44,200602160CHI,38.6,13.7,3rd quarter,8:41.0,Chris Webber,PHI,False,2-pointer,17,50-68,'CHI',trails
45,45,45,200602160CHI,16.8,22.1,3rd quarter,8:02.0,Kevin Ollie,PHI,False,2-pointer,19,50-70,'CHI',trails
46,46,46,200602160CHI,32.4,5.8,3rd quarter,7:23.0,Andre Iguodala,PHI,False,2-pointer,8,50-73,'CHI',trails
47,47,47,200602160CHI,38.3,17.8,3rd quarter,6:57.0,Allen Iverson,PHI,False,2-pointer,19,50-73,'CHI',trails
48,48,48,200602160CHI,22.9,23.7,3rd quarter,6:46.0,Kevin Ollie,PHI,False,2-pointer,19,50-73,'CHI',trails
49,49,49,200602160CHI,24.0,5.0,3rd quarter,6:16.0,Chris Webber,PHI,True,2-pointer,0,52-75,'CHI',trails
50,50,50,200602160CHI,39.9,17.5,3rd quarter,5:45.0,Chris Webber,PHI,True,2-pointer,20,54-75,'CHI',trails
51,51,51,200602160CHI,36.8,25.9,3rd quarter,4:59.0,Chris Webber,PHI,False,3-pointer,25,54-78,'CHI',trails
52,52,52,200602160CHI,11.4,16.2,3rd quarter,4:29.0,Allen Iverson,PHI,False,2-pointer,17,54-80,'CHI',trails
53,53,53,200602160CHI,18.9,23.7,3rd quarter,1:50.0,Kyle Korver,PHI,False,2-pointer,19,58-85,'CHI',trails
54,54,54,200602160CHI,24.0,5.0,3rd quarter,1:10.0,John Salmons,PHI,False,2-pointer,0,58-87,'CHI',trails
55,55,55,200602160CHI,24.0,5.0,4th quarter,11:22.0,John Salmons,PHI,True,2-pointer,0,64-92,'CHI',trails
56,56,56,200602160CHI,31.2,15.0,4th quarter,10:47.0,John Salmons,PHI,True,2-pointer,12,66-92,'CHI',trails
57,57,57,200602160CHI,12.8,28.7,4th quarter,10:13.0,Kyle Korver,PHI,False,3-pointer,26,66-96,'CHI',trails
58,58,58,200602160CHI,15.0,12.1,4th quarter,9:46.0,John Salmons,PHI,True,2-pointer,11,68-96,'CHI',trails
59,59,59,200602160CHI,24.0,5.0,4th quarter,9:08.0,Shavlik Randolph,PHI,True,2-pointer,0,70-96,'CHI',trails
60,60,60,200602160CHI,23.4,23.9,4th quarter,8:29.0,Lou Williams,PHI,True,2-pointer,19,73-98,'CHI',trails
61,61,61,200602160CHI,12.8,15.9,4th quarter,7:35.0,Michael Bradley,PHI,False,2-pointer,16,73-98,'CHI',trails
62,62,62,200602160CHI,42.1,21.6,4th quarter,6:30.0,Lou Williams,PHI,False,3-pointer,25,75-101,'CHI',trails
63,63,63,200602160CHI,24.0,5.0,4th quarter,5:59.0,Kyle Korver,PHI,True,2-pointer,0,77-103,'CHI',trails
64,64,64,200602160CHI,39.9,21.4,4th quarter,5:27.0,Kyle Korver,PHI,False,2-pointer,23,77-105,'CHI',trails
65,65,65,200602160CHI,24.0,5.0,4th quarter,5:14.0,Lou Williams,PHI,False,2-pointer,0,77-105,'CHI',trails
66,66,66,200602160CHI,1.0,7.5,4th quarter,5:07.0,Matt Barnes,PHI,False,3-pointer,23,77-105,'CHI',trails
67,67,67,200602160CHI,24.0,5.0,4th quarter,4:14.0,Lou Williams,PHI,True,2-pointer,0,80-107,'CHI',trails
68,68,68,200602160CHI,10.9,19.5,4th quarter,3:49.0,Michael Bradley,PHI,False,2-pointer,20,80-109,'CHI',trails
69,69,69,200602160CHI,24.0,5.0,4th quarter,3:16.0,Lou Williams,PHI,False,2-pointer,0,80-109,'CHI',trails
70,70,70,200602160CHI,7.6,6.5,4th quarter,2:46.0,Kyle Korver,PHI,False,2-pointer,16,80-111,'CHI',trails
71,71,71,200602160CHI,24.1,16.4,4th quarter,2:07.0,Shavlik Randolph,PHI,False,2-pointer,11,80-113,'CHI',trails
72,72,72,200602160CHI,24.0,5.0,4th quarter,1:28.0,Shavlik Randolph,PHI,True,2-pointer,0,82-115,'CHI',trails
73,73,73,200602160CHI,24.0,5.0,4th quarter,0:54.9,Michael Bradley,PHI,True,2-pointer,0,84-115,'CHI',trails
74,74,74,200602160CHI,21.9,16.5,4th quarter,0:18.9,Kyle Korver,PHI,False,2-pointer,12,84-117,'CHI',trails
75,75,75,200602160CHI,26.6,30.8,1st quarter,11:06.0,Kirk Hinrich,CHI,True,3-pointer,26,5-2,'CHI',leads
76,76,76,200602160CHI,26.1,12.2,1st quarter,10:18.0,Tyson Chandler,CHI,False,2-pointer,8,5-4,'CHI',leads
77,77,77,200602160CHI,36.3,24.9,1st quarter,9:53.0,Darius Songaila,CHI,True,2-pointer,23,9-4,'CHI',leads
78,78,78,200602160CHI,18.8,19.8,1st quarter,9:34.0,Kirk Hinrich,CHI,False,2-pointer,16,9-4,'CHI',leads
79,79,79,200602160CHI,43.9,7.6,1st quarter,9:25.0,Darius Songaila,CHI,True,2-pointer,20,11-4,'CHI',leads
80,80,80,200602160CHI,14.6,27.5,1st quarter,8:56.0,Kirk Hinrich,CHI,False,3-pointer,24,11-4,'CHI',leads
81,81,81,200602160CHI,39.3,6.8,1st quarter,8:04.0,Ben Gordon,CHI,False,2-pointer,15,13-8,'CHI',leads
82,82,82,200602160CHI,7.1,16.0,1st quarter,7:58.0,Darius Songaila,CHI,False,2-pointer,20,13-8,'CHI',leads
83,83,83,200602160CHI,24.0,5.0,1st quarter,7:45.0,Luol Deng,CHI,True,2-pointer,0,15-8,'CHI',leads
84,84,84,200602160CHI,24.0,5.0,1st quarter,6:52.0,Ben Gordon,CHI,True,2-pointer,0,17-10,'CHI',leads
85,85,85,200602160CHI,24.0,5.0,1st quarter,6:22.0,Luol Deng,CHI,True,2-pointer,0,19-12,'CHI',leads
86,86,86,200602160CHI,24.0,5.0,1st quarter,5:51.0,Malik Allen,CHI,False,2-pointer,0,19-12,'CHI',leads
87,87,87,200602160CHI,24.0,5.0,1st quarter,5:42.0,Tyson Chandler,CHI,False,2-pointer,0,19-12,'CHI',leads
88,88,88,200602160CHI,24.0,5.0,1st quarter,5:41.0,Tyson Chandler,CHI,True,2-pointer,0,21-12,'CHI',leads
89,89,89,200602160CHI,24.0,5.0,1st quarter,5:17.0,Kirk Hinrich,CHI,False,2-pointer,0,21-12,'CHI',leads
90,90,90,200602160CHI,24.0,5.0,1st quarter,5:14.0,Tyson Chandler,CHI,False,2-pointer,0,21-12,'CHI',leads
91,91,91,200602160CHI,24.0,5.0,1st quarter,4:53.0,Ben Gordon,CHI,True,2-pointer,0,23-14,'CHI',leads
92,92,92,200602160CHI,9.2,9.0,1st quarter,4:26.0,Ben Gordon,CHI,True,2-pointer,15,25-14,'CHI',leads
93,93,93,200602160CHI,24.0,5.0,1st quarter,3:55.0,Luol Deng,CHI,True,2-pointer,0,27-14,'CHI',leads
94,94,94,200602160CHI,13.0,13.6,1st quarter,3:23.0,Ben Gordon,CHI,True,2-pointer,14,29-14,'CHI',leads
95,95,95,200602160CHI,24.0,5.0,1st quarter,2:47.0,Mike Sweetney,CHI,False,2-pointer,0,29-16,'CHI',leads
96,96,96,200602160CHI,38.0,13.6,1st quarter,2:34.0,Malik Allen,CHI,True,2-pointer,16,31-16,'CHI',leads
